Date,Close,Rendement du mois,Rendement LP,Rendement DCA x mois,Durée,Mois DCA
,^GSPC,,,,,
2000-05-01,1420.6,-0.0219,97808.4949,16301.4158,25 ans,6 mois
2000-06-01,1454.6,0.0239,100149.3994,33366.975,25 ans,6 mois
2000-07-01,1430.83,-0.0163,98512.8304,49761.2871,25 ans,6 mois
2000-08-01,1517.6801,0.0607,104492.4711,67439.6055,25 ans,6 mois
2000-09-01,1436.51,-0.0535,98903.9029,83214.8892,25 ans,6 mois
2000-10-01,1429.4,-0.0049,98414.3795,99799.0645,25 ans,6 mois
2000-11-01,1314.95,-0.0801,90534.4769,91808.2921,25 ans,6 mois
2000-12-01,1320.28,0.0041,90901.4535,92180.432,25 ans,6 mois
2001-01-01,1366.01,0.0346,94049.9686,95373.2466,25 ans,6 mois
2001-02-01,1239.9399,-0.0923,85370.0279,86571.1795,25 ans,6 mois
2001-03-01,1160.33,-0.0642,79888.8699,81012.902,25 ans,6 mois
2001-04-01,1249.46,0.0768,86025.4824,87235.8563,25 ans,6 mois
2001-05-01,1255.8199,0.0051,86463.3683,87679.9032,25 ans,6 mois
2001-06-01,1224.38,-0.025,84298.7242,85484.8027,25 ans,6 mois
2001-07-01,1211.23,-0.0107,83393.3433,84566.6831,25 ans,6 mois
2001-08-01,1133.58,-0.0641,78047.1289,79145.2478,25 ans,6 mois
2001-09-01,1040.9399,-0.0817,71668.8517,72677.2286,25 ans,6 mois
2001-10-01,1059.78,0.0181,72965.9942,73992.6218,25 ans,6 mois
2001-11-01,1139.45,0.0752,78451.2788,79555.0841,25 ans,6 mois
2001-12-01,1148.08,0.0076,79045.4558,80157.6211,25 ans,6 mois
2002-01-01,1130.2,-0.0156,77814.4151,78909.2597,25 ans,6 mois
2002-02-01,1106.73,-0.0208,76198.5045,77270.6134,25 ans,6 mois
2002-03-01,1147.39,0.0367,78997.9532,80109.4502,25 ans,6 mois
2002-04-01,1076.92,-0.0614,74146.0865,75189.3179,25 ans,6 mois
2002-05-01,1067.14,-0.0091,73472.7302,74506.4875,25 ans,6 mois
2002-06-01,989.82,-0.0725,68149.2375,69108.0936,25 ans,6 mois
2002-07-01,911.62,-0.079,62765.1564,63648.2588,25 ans,6 mois
2002-08-01,916.07,0.0049,63071.5403,63958.9535,25 ans,6 mois
2002-09-01,815.28,-0.11,56132.1371,56921.9133,25 ans,6 mois
2002-10-01,885.76,0.0864,60984.693,61842.7444,25 ans,6 mois
2002-11-01,936.31,0.0571,64465.0663,65372.0863,25 ans,6 mois
2002-12-01,879.82,-0.0603,60575.7231,61428.0202,25 ans,6 mois
2003-01-01,855.7,-0.0274,58915.0583,59743.9899,25 ans,6 mois
2003-02-01,841.15,-0.017,57913.2897,58728.1265,25 ans,6 mois
2003-03-01,848.18,0.0084,58397.3039,59218.9508,25 ans,6 mois
2003-04-01,916.92,0.081,63130.0613,64018.2978,25 ans,6 mois
2003-05-01,963.59,0.0509,66343.2999,67276.7466,25 ans,6 mois
2003-06-01,974.5,0.0113,67094.453,68038.4684,25 ans,6 mois
2003-07-01,990.31,0.0162,68182.9734,69142.3042,25 ans,6 mois
2003-08-01,1008.01,0.0179,69401.6216,70378.0987,25 ans,6 mois
2003-09-01,995.97,-0.0119,68572.6633,69537.477,25 ans,6 mois
2003-10-01,1050.71,0.055,72341.5188,73359.3601,25 ans,6 mois
2003-11-01,1058.2,0.0071,72857.2057,73882.3026,25 ans,6 mois
2003-12-01,1111.92,0.0508,76555.8411,77632.9776,25 ans,6 mois
2004-01-01,1131.13,0.0173,77878.4494,78974.195,25 ans,6 mois
2004-02-01,1144.9399,0.0122,78829.2654,79938.3889,25 ans,6 mois
2004-03-01,1126.21,-0.0164,77539.7038,78630.6832,25 ans,6 mois
2004-04-01,1107.3,-0.0168,76237.7538,77310.4149,25 ans,6 mois
2004-05-01,1120.6801,0.0121,77158.9689,78244.5914,25 ans,6 mois
2004-06-01,1140.84,0.018,78546.9815,79652.1333,25 ans,6 mois
2004-07-01,1101.72,-0.0343,75853.5647,76920.8203,25 ans,6 mois
2004-08-01,1104.24,0.0023,76027.0684,77096.7651,25 ans,6 mois
2004-09-01,1114.58,0.0094,76738.9764,77818.6897,25 ans,6 mois
2004-10-01,1130.2,0.014,77814.4151,78909.2597,25 ans,6 mois
2004-11-01,1173.8199,0.0386,80817.6575,81954.7576,25 ans,6 mois
2004-12-01,1211.92,0.0325,83440.8542,84614.8625,25 ans,6 mois
2005-01-01,1181.27,-0.0253,81330.596,82474.9131,25 ans,6 mois
2005-02-01,1203.6,0.0189,82868.0164,84033.965,25 ans,6 mois
2005-03-01,1180.59,-0.0191,81283.7742,82427.4326,25 ans,6 mois
2005-04-01,1156.85,-0.0201,79649.2728,80769.9338,25 ans,6 mois
2005-05-01,1191.5,0.03,82034.9315,83189.1586,25 ans,6 mois
2005-06-01,1191.33,-0.0001,82023.224,83177.2863,25 ans,6 mois
2005-07-01,1234.1801,0.036,84973.4588,86169.0308,25 ans,6 mois
2005-08-01,1220.33,-0.0112,84019.8778,85202.0329,25 ans,6 mois
2005-09-01,1228.8101,0.0069,84603.734,85794.1039,25 ans,6 mois
2005-10-01,1207.01,-0.0177,83102.7977,84272.0496,25 ans,6 mois
2005-11-01,1249.48,0.0352,86026.8608,87237.2541,25 ans,6 mois
2005-12-01,1248.29,-0.001,85944.9332,87154.1737,25 ans,6 mois
2006-01-01,1280.08,0.0255,88133.6731,89373.7092,25 ans,6 mois
2006-02-01,1280.66,0.0005,88173.6116,89414.2095,25 ans,6 mois
2006-03-01,1294.87,0.0111,89151.9693,90406.3327,25 ans,6 mois
2006-04-01,1310.61,0.0122,90235.6697,91505.2807,25 ans,6 mois
2006-05-01,1270.09,-0.0309,87445.861,88676.2195,25 ans,6 mois
2006-06-01,1270.2,0.0001,87453.4335,88683.8986,25 ans,6 mois
2006-07-01,1276.66,0.0051,87898.2111,89134.9342,25 ans,6 mois
2006-08-01,1303.8199,0.0213,89768.1746,91031.208,25 ans,6 mois
2006-09-01,1335.85,0.0246,91973.4463,93267.5077,25 ans,6 mois
2006-10-01,1377.9399,0.0315,94871.346,96206.1807,25 ans,6 mois
2006-11-01,1400.63,0.0165,96433.5598,97790.3748,25 ans,6 mois
2006-12-01,1418.3,0.0126,97650.1447,99024.0769,25 ans,6 mois
2007-01-01,1438.24,0.0141,99023.0123,100416.2607,25 ans,6 mois
2007-02-01,1406.8199,-0.0218,96859.7381,98222.5494,25 ans,6 mois
2007-03-01,1420.86,0.01,97826.3966,99202.8088,25 ans,6 mois
2007-04-01,1482.37,0.0433,102061.3689,103497.3669,25 ans,6 mois
2007-05-01,1530.62,0.0325,105383.3877,106866.1263,25 ans,6 mois
2007-06-01,1503.35,-0.0178,103505.8433,104962.1649,25 ans,6 mois
2007-07-01,1455.27,-0.032,100195.532,101605.2777,25 ans,6 mois
2007-08-01,1473.99,0.0129,101484.4045,102912.2846,25 ans,6 mois
2007-09-01,1526.75,0.0358,105116.9381,106595.9277,25 ans,6 mois
2007-10-01,1549.38,0.0148,106675.0169,108175.9286,25 ans,6 mois
2007-11-01,1481.14,-0.044,101976.6846,103411.491,25 ans,6 mois
2007-12-01,1468.36,-0.0086,101096.7779,102519.2041,25 ans,6 mois
2008-01-01,1378.55,-0.0612,94913.352,96248.7777,25 ans,6 mois
2008-02-01,1330.63,-0.0348,91614.0506,92903.0554,25 ans,6 mois
2008-03-01,1322.7,-0.006,91068.0654,92349.3882,25 ans,6 mois
2008-04-01,1385.59,0.0475,95398.0512,96740.2966,25 ans,6 mois
2008-05-01,1400.38,0.0107,96416.3473,97772.9201,25 ans,6 mois
2008-06-01,1280.0,-0.086,88128.1682,89368.1267,25 ans,6 mois
2008-07-01,1267.38,-0.0099,87259.2798,88487.0132,25 ans,6 mois
2008-08-01,1282.83,0.0122,88323.011,89565.711,25 ans,6 mois
2008-09-01,1166.36,-0.0908,80304.0382,81433.9117,25 ans,6 mois
2008-10-01,968.75,-0.1694,66698.5648,67637.01,25 ans,6 mois
2008-11-01,896.24,-0.0748,61706.2411,62574.4445,25 ans,6 mois
