Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
ASTRAZENECA PLC ORD SHS $0.25,AZN,AZN.L,7.77,Healthcare,FTSE 100,^FTSE,United Kingdom,LSE,100,164309008384
SHELL PLC ORD EUR0.07,SHEL,SHEL.L,7.2,Energy,FTSE 100,^FTSE,United Kingdom,LSE,100,152268111872
HSBC HOLDINGS PLC ORD $0.50 (UK,HSBA,HSBA.L,6.54,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,138266673152
UNILEVER PLC ORD 3 1/9P,ULVR,ULVR.L,5.31,Consumer Defensive,FTSE 100,^FTSE,United Kingdom,LSE,100,112241508352
RIO TINTO PLC ORD 10P,RIO,RIO.L,3.45,Basic Materials,FTSE 100,^FTSE,United Kingdom,LSE,100,72925003776
RELX PLC ORD 14 51/116P,REL,REL.L,3.16,Industrials,FTSE 100,^FTSE,United Kingdom,LSE,100,66733318144
BRITISH AMERICAN TOBACCO PLC OR,BATS,BATS.L,3.25,Consumer Defensive,FTSE 100,^FTSE,United Kingdom,LSE,100,68700639232
LONDON STOCK EXCHANGE GROUP PLC,LSEG,LSEG.L,2.74,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,57916641280
BP PLC $0.25,BP,BP.L,2.81,Energy,FTSE 100,^FTSE,United Kingdom,LSE,100,59408044032
GSK PLC ORD 31 1/4P,GSK,GSK.L,2.64,Healthcare,FTSE 100,^FTSE,United Kingdom,LSE,100,55919136768
ROLLS-ROYCE HOLDINGS PLC ORD SH,RR,RR.L,2.85,Industrials,FTSE 100,^FTSE,United Kingdom,LSE,100,60315230208
NATIONAL GRID PLC ORD 12 204/47,NG,NG.L,2.29,Utilities,FTSE 100,^FTSE,United Kingdom,LSE,100,48464732160
DIAGEO PLC ORD 28 101/108P,DGE,DGE.L,2.1,Consumer Defensive,FTSE 100,^FTSE,United Kingdom,LSE,100,44425396224
BAE SYSTEMS PLC ORD 2.5P,BA,BA.L,2.22,Industrials,FTSE 100,^FTSE,United Kingdom,LSE,100,46861565952
COMPASS GROUP PLC ORD 11 1/20P,CPG,CPG.L,1.98,Consumer Cyclical,FTSE 100,^FTSE,United Kingdom,LSE,100,41868775424
LLOYDS BANKING GROUP PLC ORD 10,LLOY,LLOY.L,1.96,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,41419849728
BARCLAYS PLC ORD 25P,BARC,BARC.L,1.77,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,37473206272
RECKITT BENCKISER GROUP PLC ORD,RKT,RKT.L,1.59,Consumer Defensive,FTSE 100,^FTSE,United Kingdom,LSE,100,33605097472
HALEON PLC ORD GBP0.01,HLN,HLN.L,1.57,Healthcare,FTSE 100,^FTSE,United Kingdom,LSE,100,33148250112
3I GROUP PLC ORD 73 19/22P,III,III.L,1.62,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,34246428672
