Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
AB INBEV,ABI,ABI.BR,38.38,Consumer Defensive,BEL 20,^BFX,Belgium,BRU,20,107933851648
ARGENX SE,ARGX,ARGX.BR,11.15,Healthcare,BEL 20,^BFX,Netherlands,BRU,20,31355789312
KBC,KBC,KBC.BR,11.17,Financial Services,BEL 20,^BFX,Belgium,BRU,20,31404351488
UCB,UCB,UCB.BR,10.39,Healthcare,BEL 20,^BFX,Belgium,BRU,20,29229187072
AGEAS,AGS,AGS.BR,3.35,Financial Services,BEL 20,^BFX,Belgium,BRU,20,9425318912
GBL,GBLB,GBLB.BR,2.89,Financial Services,BEL 20,^BFX,Belgium,BRU,20,8116553216
D'IETEREN GROUP,DIE,DIE.BR,2.88,Consumer Cyclical,BEL 20,^BFX,Belgium,BRU,20,8092746752
ELIA GROUP,ELI,ELI.BR,2.63,Utilities,BEL 20,^BFX,Belgium,BRU,20,7391252992
SOFINA,SOF,SOF.BR,2.69,Financial Services,BEL 20,^BFX,Belgium,BRU,20,7570901504
LOTUS BAKERIES,LOTB,LOTB.BR,2.26,Consumer Defensive,BEL 20,^BFX,Belgium,BRU,20,6356586496
ACKERMANS V.HAAREN,ACKB,ACKB.BR,2.23,Industrials,BEL 20,^BFX,Belgium,BRU,20,6257507840
SYENSQO,SYENS,SYENS.BR,2.11,Basic Materials,BEL 20,^BFX,Belgium,BRU,20,5939856384
WAREHOUSES DE PAUW,WDP,WDP.BR,1.64,Real Estate,BEL 20,^BFX,Belgium,BRU,20,4609839104
AZELIS GROUP NV,AZE,AZE.BR,1.34,Basic Materials,BEL 20,^BFX,Belgium,BRU,20,3774653952
SOLVAY,SOLB,SOLB.BR,1.16,Basic Materials,BEL 20,^BFX,Belgium,BRU,20,3268200704
AEDIFICA,AED,AED.BR,1.03,Real Estate,BEL 20,^BFX,Belgium,BRU,20,2909339392
COFINIMMO,COFB,COFB.BR,0.82,Real Estate,BEL 20,^BFX,Belgium,BRU,20,2316759808
UMICORE,UMI,UMI.BR,0.69,Industrials,BEL 20,^BFX,Belgium,BRU,20,1929658368
MELEXIS,MELE,MELE.BR,0.67,Technology,BEL 20,^BFX,Belgium,BRU,20,1894946176
MONTEA NV,MONT,MONT.BR,0.52,Real Estate,BEL 20,^BFX,Belgium,BRU,20,1455037696
