Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
Apple Inc.,AAPL,AAPL,16.91,Technology,Dow Jones 30,^DJI,United States,NMS,30,2725910413312
Microsoft Corporation,MSFT,MSFT,16.5,Technology,Dow Jones 30,^DJI,United States,NMS,30,2660323819520
NVIDIA Corporation,NVDA,NVDA,14.78,Technology,Dow Jones 30,^DJI,United States,NMS,30,2382415790080
"Amazon.com, Inc.",AMZN,AMZN,11.52,Consumer Cyclical,Dow Jones 30,^DJI,United States,NMS,30,1857352761344
Walmart Inc.,WMT,WMT,4.17,Consumer Defensive,Dow Jones 30,^DJI,United States,NYQ,30,672052543488
Visa Inc.,V,V,3.74,Financial Services,Dow Jones 30,^DJI,United States,NYQ,30,602468450304
JP Morgan Chase & Co.,JPM,JPM,3.72,Financial Services,Dow Jones 30,^DJI,United States,NYQ,30,599597842432
UnitedHealth Group Incorporated,UNH,UNH,2.98,Healthcare,Dow Jones 30,^DJI,United States,NYQ,30,479949389824
Procter & Gamble Company (The),PG,PG,2.33,Consumer Defensive,Dow Jones 30,^DJI,United States,NYQ,30,375715299328
Johnson & Johnson,JNJ,JNJ,2.25,Healthcare,Dow Jones 30,^DJI,United States,NYQ,30,362971627520
"Home Depot, Inc. (The)",HD,HD,2.11,Consumer Cyclical,Dow Jones 30,^DJI,United States,NYQ,30,339471892480
Coca-Cola Company (The),KO,KO,1.83,Consumer Defensive,Dow Jones 30,^DJI,United States,NYQ,30,294235078656
Chevron Corporation,CVX,CVX,1.53,Energy,Dow Jones 30,^DJI,United States,NYQ,30,246748086272
"Salesforce, Inc.",CRM,CRM,1.46,Technology,Dow Jones 30,^DJI,United States,NYQ,30,234685808640
"Cisco Systems, Inc.",CSCO,CSCO,1.34,Technology,Dow Jones 30,^DJI,United States,NMS,30,216458756096
McDonald's Corporation,MCD,MCD,1.33,Consumer Cyclical,Dow Jones 30,^DJI,United States,NYQ,30,214259712000
International Business Machines,IBM,IBM,1.3,Technology,Dow Jones 30,^DJI,United States,NYQ,30,209357668352
"Merck & Company, Inc.",MRK,MRK,1.27,Healthcare,Dow Jones 30,^DJI,United States,NYQ,30,205063929856
Verizon Communications Inc.,VZ,VZ,1.11,Communication Services,Dow Jones 30,^DJI,United States,NYQ,30,179249037312
American Express Company,AXP,AXP,1.02,Financial Services,Dow Jones 30,^DJI,United States,NYQ,30,164256055296
Amgen Inc.,AMGN,AMGN,0.97,Healthcare,Dow Jones 30,^DJI,United States,NMS,30,155622916096
Walt Disney Company (The),DIS,DIS,0.93,Communication Services,Dow Jones 30,^DJI,United States,NYQ,30,150588915712
"Goldman Sachs Group, Inc. (The)",GS,GS,0.9,Financial Services,Dow Jones 30,^DJI,United States,NYQ,30,144675864576
"Caterpillar, Inc.",CAT,CAT,0.83,Industrials,Dow Jones 30,^DJI,United States,NYQ,30,133849636864
Honeywell International Inc.,HON,HON,0.76,Industrials,Dow Jones 30,^DJI,United States,NMS,30,121833816064
Boeing Company (The),BA,BA,0.65,Industrials,Dow Jones 30,^DJI,United States,NYQ,30,104479236096
"Nike, Inc.",NKE,NKE,0.51,Consumer Cyclical,Dow Jones 30,^DJI,United States,NYQ,30,82079809536
Sherwin-Williams Company (The),SHW,SHW,0.5,Basic Materials,Dow Jones 30,^DJI,United States,NYQ,30,81189945344
3M Company,MMM,MMM,0.43,Industrials,Dow Jones 30,^DJI,United States,NYQ,30,69329330176
"The Travelers Companies, Inc.",TRV,TRV,0.33,Financial Services,Dow Jones 30,^DJI,United States,NYQ,30,53015576576
