Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
INDUSTRIA DE DISE...O TEXTIL S.,ITX,ITX.MC,18.21,Consumer Cyclical,IBEX 35,^IBEX,Spain,MCE,35,132243218432.0
ACCIONES IBERDROLA,IBE,IBE.MC,12.35,Utilities,IBEX 35,^IBEX,Spain,MCE,35,89670746112.0
BANCO SANTANDER S.A.,SAN,SAN.MC,10.85,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,78772928512.0
BANCO BILBAO VIZCAYA ARGENTARIA,BBVA,BBVA.MC,8.57,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,62229061632.0
"CAIXABANK, S.A.",CABK,CABK.MC,5.82,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,42255302656.0
"AENA, S.M.E., S.A.",AENA,AENA.MC,4.26,Industrials,IBEX 35,^IBEX,Spain,MCE,35,30929999872.0
"AMADEUS IT GROUP, S.A.",AMS,AMS.MC,3.79,Technology,IBEX 35,^IBEX,Spain,MCE,35,27525091328.0
FERROVIAL SE,FER,FER.MC,3.99,Industrials,IBEX 35,^IBEX,Netherlands,MCE,35,28993681408.0
"ENDESA,S.A.",ELE,ELE.MC,3.35,Utilities,IBEX 35,^IBEX,Spain,MCE,35,24346650624.0
"TELEFONICA,S.A.",TEF,TEF.MC,3.19,Communication Services,IBEX 35,^IBEX,Spain,MCE,35,23137488896.0
"NATURGY ENERGY GROUP, S.A.",NTGY,NTGY.MC,3.15,Utilities,IBEX 35,^IBEX,Spain,MCE,35,22846255104.0
"CELLNEX TELECOM, S.A.",CLNX,CLNX.MC,3.0,Real Estate,IBEX 35,^IBEX,Spain,MCE,35,21799913472.0
ARCELORMITTAL SA,MTS,MTS.MC,2.55,Basic Materials,IBEX 35,^IBEX,Luxembourg,MCE,35,18552707072.0
INTL CONSOLIDATED AIRLINES GROU,IAG,IAG.MC,1.83,Industrials,IBEX 35,^IBEX,United Kingdom,MCE,35,13259150336.0
"ACS,ACTIVIDADES DE CONSTRUCCION",ACS,ACS.MC,1.59,Industrials,IBEX 35,^IBEX,Spain,MCE,35,11581856768.0
"REPSOL,  S.A.",REP,REP.MC,1.59,Energy,IBEX 35,^IBEX,Spain,MCE,35,11552051200.0
BANCO DE SABADELL,SAB,SAB.MC,1.62,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,11739776000.0
"REDEIA CORPORACION, S.A.",RED,RED.MC,1.33,Utilities,IBEX 35,^IBEX,Spain,MCE,35,9673303040.0
Non disponible,PUIG.MC,PUIG.MC,,Non disponible,IBEX 35,^IBEX,Non disponible,Non disponible,35,
"MAPFRE, S.A.",MAP,MAP.MC,1.09,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,7938301952.0
"BANKINTER, S.A.",BKT,BKT.MC,1.05,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,7624375808.0
"ACCIONA, S.A.",ANA,ANA.MC,0.8,Industrials,IBEX 35,^IBEX,Spain,MCE,35,5803399680.0
CORPORACI...N ACCIONA ENERG...A,ANE,ANE.MC,0.67,Utilities,IBEX 35,^IBEX,Spain,MCE,35,4855602176.0
"MERLIN PROPERTIES SOCIMI, S.A.",MRL,MRL.MC,0.67,Real Estate,IBEX 35,^IBEX,Spain,MCE,35,4898591232.0
GRIFOLS S.A.,GRF,GRF.MC,0.67,Healthcare,IBEX 35,^IBEX,Spain,MCE,35,4846584320.0
"INDRA SISTEMAS S.A., SERIE A",IDR,IDR.MC,0.6,Technology,IBEX 35,^IBEX,Spain,MCE,35,4328558080.0
"UNICAJA BANCO, S.A.",UNI,UNI.MC,0.51,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,3715034112.0
COMPA...IA DE DISTRIBUCION INTE,LOG,LOG.MC,0.49,Industrials,IBEX 35,^IBEX,Spain,MCE,35,3576992512.0
"FLUIDRA, S.A.",FDR,FDR.MC,0.49,Industrials,IBEX 35,^IBEX,Spain,MCE,35,3538412288.0
"ENAGAS,S.A.",ENG,ENG.MC,0.45,Utilities,IBEX 35,^IBEX,Spain,MCE,35,3258281216.0
"INMOBILIARIA COLONIAL, SOCIMI S",COL,COL.MC,0.44,Real Estate,IBEX 35,^IBEX,Spain,MCE,35,3204169472.0
LABORATORIOS FARMACEUTICOS ROVI,ROVI,ROVI.MC,0.33,Healthcare,IBEX 35,^IBEX,Spain,MCE,35,2403838464.0
"SACYR, S.A.",SCYR,SCYR.MC,0.3,Industrials,IBEX 35,^IBEX,Spain,MCE,35,2213769216.0
"ACERINOX, S.A.",ACX,ACX.MC,0.31,Basic Materials,IBEX 35,^IBEX,Spain,MCE,35,2236830208.0
SOLARIA ENERGIA Y MEDIO AMBIENT,SLR,SLR.MC,0.11,Utilities,IBEX 35,^IBEX,Spain,MCE,35,785441984.0
