Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
LVMH,MC,MC.PA,5.69,Consumer Cyclical,STOXX 50,^STOXX50E,France,PAR,50,259427762176
SAP SE                        I,SAP,SAP.DE,5.67,Technology,STOXX 50,^STOXX50E,Germany,GER,50,258283012096
HERMES INTL,RMS,RMS.PA,5.05,Consumer Cyclical,STOXX 50,^STOXX50E,France,PAR,50,230325927936
ASML HOLDING,ASML,ASML.AS,4.87,Technology,STOXX 50,^STOXX50E,Netherlands,AMS,50,221857349632
L'OREAL,OR,OR.PA,3.95,Consumer Defensive,STOXX 50,^STOXX50E,France,PAR,50,180064632832
INDUSTRIA DE DISE...O TEXTIL S.,ITX,ITX.MC,2.9,Consumer Cyclical,STOXX 50,^STOXX50E,Spain,MCE,50,132243218432
SIEMENS AG                    N,SIE,SIE.DE,3.03,Industrials,STOXX 50,^STOXX50E,Germany,GER,50,138316136448
DEUTSCHE TELEKOM AG           N,DTE,DTE.DE,3.37,Communication Services,STOXX 50,^STOXX50E,Germany,GER,50,153530466304
SCHNEIDER ELECTRIC SE,SU,SU.PA,2.46,Industrials,STOXX 50,^STOXX50E,France,PAR,50,112072933376
AIRBUS SE,AIR,AIR.PA,2.54,Industrials,STOXX 50,^STOXX50E,Netherlands,PAR,50,115952091136
SANOFI,SAN,SAN.PA,2.54,Healthcare,STOXX 50,^STOXX50E,France,PAR,50,115951763456
TOTALENERGIES,TTE,TTE.PA,2.61,Energy,STOXX 50,^STOXX50E,France,PAR,50,119101308928
Allianz SE                    v,ALV,ALV.DE,2.68,Financial Services,STOXX 50,^STOXX50E,Germany,GER,50,121950404608
ESSILORLUXOTTICA,EL,EL.PA,2.38,Healthcare,STOXX 50,^STOXX50E,France,PAR,50,108481552384
SAFRAN,SAF,SAF.PA,1.96,Industrials,STOXX 50,^STOXX50E,France,PAR,50,89328082944
AIR LIQUIDE,AI,AI.PA,2.04,Basic Materials,STOXX 50,^STOXX50E,France,PAR,50,93192003584
AB INBEV,ABI,ABI.BR,2.37,Consumer Defensive,STOXX 50,^STOXX50E,Belgium,BRU,50,107933851648
PROSUS,PRX,PRX.AS,1.99,Communication Services,STOXX 50,^STOXX50E,Netherlands,AMS,50,90773995520
ACCIONES IBERDROLA,IBE,IBE.MC,1.97,Utilities,STOXX 50,^STOXX50E,Spain,MCE,50,89670746112
AXA,CS,CS.PA,1.78,Financial Services,STOXX 50,^STOXX50E,France,PAR,50,80955645952
BANCO SANTANDER S.A.,SAN,SAN.MC,1.73,Financial Services,STOXX 50,^STOXX50E,Spain,MCE,50,78772928512
INTESA SANPAOLO,ISP,ISP.MI,1.64,Financial Services,STOXX 50,^STOXX50E,Italy,MIL,50,74799661056
FERRARI,RACE,RACE.MI,1.43,Consumer Cyclical,STOXX 50,^STOXX50E,Italy,MIL,50,65290743808
BNP PARIBAS ACT.A,BNP,BNP.PA,1.76,Financial Services,STOXX 50,^STOXX50E,France,PAR,50,80132366336
MUENCHENER RUECKVERS.-GES. AG V,MUV2,MUV2.DE,1.5,Financial Services,STOXX 50,^STOXX50E,Germany,GER,50,68304838656
UNICREDIT,UCG,UCG.MI,1.61,Financial Services,STOXX 50,^STOXX50E,Italy,MIL,50,73469747200
ENEL,ENEL,ENEL.MI,1.6,Utilities,STOXX 50,^STOXX50E,Italy,MIL,50,73056903168
BANCO BILBAO VIZCAYA ARGENTARIA,BBVA,BBVA.MC,1.37,Financial Services,STOXX 50,^STOXX50E,Spain,MCE,50,62229061632
VINCI,DG,DG.PA,1.38,Industrials,STOXX 50,^STOXX50E,France,PAR,50,62872453120
Mercedes-Benz Group AG        N,MBG,MBG.DE,1.04,Consumer Cyclical,STOXX 50,^STOXX50E,Germany,GER,50,47225626624
ING GROEP N.V.,INGA,INGA.AS,1.11,Financial Services,STOXX 50,^STOXX50E,Netherlands,AMS,50,50392096768
VOLKSWAGEN AG                 V,VOW3,VOW3.DE,0.96,Consumer Cyclical,STOXX 50,^STOXX50E,Germany,GER,50,43643523072
BAYERISCHE MOTOREN WERKE AG   S,BMW,BMW.DE,0.91,Consumer Cyclical,STOXX 50,^STOXX50E,Germany,GER,50,41512591360
ADYEN,ADYEN,ADYEN.AS,0.88,Technology,STOXX 50,^STOXX50E,Netherlands,AMS,50,40283570176
adidas AG                     N,ADS,ADS.DE,0.73,Consumer Cyclical,STOXX 50,^STOXX50E,Germany,GER,50,33272606720
SAINT GOBAIN,SGO,SGO.PA,0.93,Industrials,STOXX 50,^STOXX50E,France,PAR,50,42449297408
DEUTSCHE BOERSE AG            N,DB1,DB1.DE,1.0,Financial Services,STOXX 50,^STOXX50E,Germany,GER,50,45485056000
DANONE,BN,BN.PA,0.99,Consumer Defensive,STOXX 50,^STOXX50E,France,PAR,50,45073489920
INFINEON TECHNOLOGIES AG      N,IFX,IFX.DE,0.72,Technology,STOXX 50,^STOXX50E,Germany,GER,50,32621910016
BASF SE                       N,BAS,BAS.DE,0.8,Basic Materials,STOXX 50,^STOXX50E,Germany,GER,50,36316717056
ENI,ENI,ENI.MI,0.85,Energy,STOXX 50,^STOXX50E,Italy,MIL,50,38544171008
WOLTERS KLUWER,WKL,WKL.AS,0.69,Industrials,STOXX 50,^STOXX50E,Netherlands,AMS,50,31580010496
DEUTSCHE POST AG              N,DHL,DHL.DE,0.85,Industrials,STOXX 50,^STOXX50E,Germany,GER,50,38828912640
Nordea Bank Abp,NDA-SE,NDA-SE.ST,8.57,Financial Services,STOXX 50,^STOXX50E,Finland,STO,50,390691782656
STELLANTIS NV,STLAP,STLAP.PA,0.56,Consumer Cyclical,STOXX 50,^STOXX50E,Netherlands,PAR,50,25460066304
KONINKLIJKE AHOLD DELHAIZE N.V.,AD,AD.AS,0.67,Consumer Defensive,STOXX 50,^STOXX50E,Netherlands,AMS,50,30544273408
KERING,KER,KER.PA,0.46,Consumer Cyclical,STOXX 50,^STOXX50E,France,PAR,50,20912826368
PERNOD RICARD,RI,RI.PA,0.49,Consumer Defensive,STOXX 50,^STOXX50E,France,PAR,50,22255312896
Nokia Corporation,NOKIA,NOKIA.HE,0.5,Technology,STOXX 50,^STOXX50E,Finland,HEL,50,22866151424
Bayer AG                      N,BAYN,BAYN.DE,0.43,Healthcare,STOXX 50,^STOXX50E,Germany,GER,50,19483432960
