Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
HERMES INTL,RMS.PA,RMS,Consumer Cyclical,France,PAR,252549922816,CAC 40,^FCHI,40,10.31
LVMH,MC.PA,MC,Consumer Cyclical,France,PAR,237506805760,CAC 40,^FCHI,40,9.7
L'OREAL,OR.PA,OR,Consumer Defensive,France,PAR,204440158208,CAC 40,^FCHI,40,8.35
AIRBUS SE,AIR.PA,AIR,Industrials,Netherlands,PAR,135121567744,CAC 40,^FCHI,40,5.52
SCHNEIDER ELECTRIC SE,SU.PA,SU,Industrials,France,PAR,126559125504,CAC 40,^FCHI,40,5.17
ESSILORLUXOTTICA,EL.PA,EL,Healthcare,France,PAR,111058460672,CAC 40,^FCHI,40,4.54
TOTALENERGIES,TTE.PA,TTE,Energy,France,PAR,116814954496,CAC 40,^FCHI,40,4.77
SAFRAN,SAF.PA,SAF,Industrials,France,PAR,111982215168,CAC 40,^FCHI,40,4.57
SANOFI,SAN.PA,SAN,Healthcare,France,PAR,105585197056,CAC 40,^FCHI,40,4.31
AIR LIQUIDE,AI.PA,AI,Basic Materials,France,PAR,106259234816,CAC 40,^FCHI,40,4.34
AXA,CS.PA,CS,Financial Services,France,PAR,92124643328,CAC 40,^FCHI,40,3.76
BNP PARIBAS ACT.A,BNP.PA,BNP,Financial Services,France,PAR,86632701952,CAC 40,^FCHI,40,3.54
VINCI,DG.PA,DG,Industrials,France,PAR,71565467648,CAC 40,^FCHI,40,2.92
THALES,HO.PA,HO,Industrials,France,PAR,55034159104,CAC 40,^FCHI,40,2.25
SAINT GOBAIN,SGO.PA,SGO,Industrials,France,PAR,50010972160,CAC 40,^FCHI,40,2.04
CREDIT AGRICOLE,ACA.PA,ACA,Financial Services,France,PAR,48566214656,CAC 40,^FCHI,40,1.98
DANONE,BN.PA,BN,Consumer Defensive,France,PAR,48042872832,CAC 40,^FCHI,40,1.96
ENGIE,ENGI.PA,ENGI,Utilities,France,PAR,46258855936,CAC 40,^FCHI,40,1.89
DASSAULT SYSTEMES,DSY.PA,DSY,Technology,France,PAR,43225788416,CAC 40,^FCHI,40,1.77
SOCIETE GENERALE,GLE.PA,GLE,Financial Services,France,PAR,37278085120,CAC 40,^FCHI,40,1.52
ORANGE,ORA.PA,ORA,Communication Services,France,PAR,33896003584,CAC 40,^FCHI,40,1.38
STELLANTIS NV,STLAP.PA,STLAP,Consumer Cyclical,Netherlands,PAR,25068990464,CAC 40,^FCHI,40,1.02
LEGRAND,LR.PA,LR,Industrials,France,PAR,28390651904,CAC 40,^FCHI,40,1.16
CAPGEMINI,CAP.PA,CAP,Technology,France,PAR,25092968448,CAC 40,^FCHI,40,1.02
PUBLICIS GROUPE SA,PUB.PA,PUB,Communication Services,France,PAR,23582578688,CAC 40,^FCHI,40,0.96
MICHELIN,ML.PA,ML,Non disponible,Non disponible,PAR,23253645312,CAC 40,^FCHI,40,0.95
PERNOD RICARD,RI.PA,RI,Consumer Defensive,France,PAR,23152443392,CAC 40,^FCHI,40,0.95
VEOLIA ENVIRON.,VIE.PA,VIE,Industrials,France,PAR,22045433856,CAC 40,^FCHI,40,0.9
KERING,KER.PA,KER,Consumer Cyclical,France,PAR,21513672704,CAC 40,^FCHI,40,0.88
STMICROELECTRONICS,STMPA.PA,STMPA,Technology,Netherlands,PAR,21594843136,CAC 40,^FCHI,40,0.88
BOUYGUES,EN.PA,EN,Industrials,France,PAR,14402065408,CAC 40,^FCHI,40,0.59
BUREAU VERITAS,BVI.PA,BVI,Industrials,France,PAR,13464608768,CAC 40,^FCHI,40,0.55
RENAULT,RNO.PA,RNO,Consumer Cyclical,France,PAR,12708050944,CAC 40,^FCHI,40,0.52
UNIBAIL-RODAMCO-WESTFIELD,URW.PA,URW,Real Estate,France,PAR,11695595520,CAC 40,^FCHI,40,0.48
ACCOR,AC.PA,AC,Consumer Cyclical,France,PAR,11057767424,CAC 40,^FCHI,40,0.45
EUROFINS SCIENT.,ERF.PA,ERF,Healthcare,Luxembourg,PAR,10262373376,CAC 40,^FCHI,40,0.42
CARREFOUR,CA.PA,CA,Consumer Defensive,France,PAR,8522505728,CAC 40,^FCHI,40,0.35
EDENRED,EDEN.PA,EDEN,Financial Services,France,PAR,6420694016,CAC 40,^FCHI,40,0.26
TELEPERFORMANCE,TEP.PA,TEP,Industrials,France,PAR,5240976384,CAC 40,^FCHI,40,0.21
ARCELORMITTAL SA,MT.AS,MT,Basic Materials,Luxembourg,AMS,20477272064,CAC 40,^FCHI,40,0.84
