Short_Name_Etf,Ticker_Etf_Yf,Ticker_Etf,Devise,Place_Boursiere_Etf,Volume_Moyen,Frais_pct
OSSIAM CAC 40 NR - UCITS ETF 1C,0CAC.PA,0CAC,EUR,PAR,13.0,
Ossiam MSCI EMU - UCITS ETF 1C ,0EMU.PA,0EMU,EUR,PAR,16.0,
OSSIAM MSCI WORLD - UCITS ETF 1,0SWE.PA,0SWE,EUR,PAR,171.0,
Ossiam S&P500 - UCITS ETF 1C (E,0USE.PA,0USE,EUR,PAR,116.0,
Amundi Core FTSE 100 Swap UCITS,100H.PA,100H,EUR,PAR,470.0,0.3
iShares iBonds Dec 2026 Term US,26ID.PA,26ID,EUR,PAR,53.0,
iShares iBonds Dec 2026 Term EU,26TP.PA,26TP,EUR,PAR,22.0,
iShares iBonds Dec 2027 Term $ ,27IT-EUR.PA,27IT-EUR,EUR,PAR,,
iShares iBonds Dec 2028 Term US,28ID.PA,28ID,EUR,PAR,166.0,
iShares iBonds Dec 2028 Term EU,28IY.PA,28IY,EUR,PAR,375.0,
iShares iBonds Dec 2029 Term EU,29GI.PA,29GI,EUR,PAR,3026.0,
iShares iBonds Dec 2029 Term $ ,29ID-EUR.PA,29ID-EUR,EUR,PAR,,
iShares iBonds Dec 2029 Term $ ,29IT-EUR.PA,29IT-EUR,EUR,PAR,,
iShares iBonds Dec 2030 Term $ ,30ID-EUR.PA,30ID-EUR,EUR,PAR,,
iShares iBonds Dec 2030 Term EU,30IG.PA,30IG,EUR,PAR,1800.0,
Amundi S&P 500 Swap UCITS ETF E,500.PA,500,EUR,PAR,10203.0,0.15
Amundi S&P 500 Swap UCITS ETF E,500H.PA,500H,EUR,PAR,6698.0,0.28
Amundi S&P 500 Swap UCITS ETF U,500U.PA,500U,USD,PAR,13848.0,0.15
HSBC EURO STOXX 50 ETF,50E.PA,50E,EUR,PAR,6421.0,0.05
Ossiam Shiller Barclays CAPE(R),5OGE.PA,5OGE,EUR,PAR,52.0,
Ossiam Shiller Barclays CAPE(R),5OGU.PA,5OGU,USD,PAR,0.0,
VNEX      PI OPENV,8G19V.PA,8G19V,EUR,PAR,,
AMEXB     PI OPENN,AABAB.PA,AABAB,EUR,PAR,,
DJCHM     PI OPENN,AABCH.PA,AABCH,EUR,PAR,,
DAX       PI OPENN,AABDX.PA,AABDX,EUR,PAR,,
DJOIL     PI OPENN,AABEN.PA,AABEN,EUR,PAR,,
DJFOD     PI OPENN,AABFB.PA,AABFB,EUR,PAR,,
GBUGS     PI OPENN,AABGB.PA,AABGB,EUR,PAR,,
DJBKS     PI OPENN,AABKX.PA,AABKX,EUR,PAR,,
21Shares Cardano ETP,AADA.PA,AADA,EUR,PAR,839.0,
DJFIN     PI OPENN,AAFIN.PA,AAFIN,EUR,PAR,,
DJHLT     PI OPENN,AAHLT.PA,AAHLT,EUR,PAR,,
DJGDS     PI OPENN,AAIND.PA,AAIND,EUR,PAR,,
DJINS     PI OPENN,AAINS.PA,AAINS,EUR,PAR,,
21Shares Arbitrum ETP,AARB-EUR.PA,AARB-EUR,EUR,PAR,,
SXRE      PI OPENB,AARTL.PA,AARTL,EUR,PAR,,
AMUNDI MSCI EM ASIA UCITS ETF -,AASI.PA,AASI,EUR,PAR,17312.0,0.2
ESTX      PI OPENN,AASTX.PA,AASTX,EUR,PAR,,
AMUNDI MSCI EM ASIA UCITS ETF -,AASU.PA,AASU,USD,PAR,2366.0,0.2
DJTCH     PI OPENN,AATCX.PA,AATCX,EUR,PAR,,
