Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
ASTRAZENECA PLC ORD SHS $0.25,AZN,AZN.L,8.29,Healthcare,FTSE 100,^FTSE,United Kingdom,LSE,100,184655052800
SHELL PLC ORD EUR0.07,SHEL,SHEL.L,7.03,Energy,FTSE 100,^FTSE,United Kingdom,LSE,100,156717039616
HSBC HOLDINGS PLC ORD $0.50 (UK,HSBA,HSBA.L,6.88,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,153431195648
UNILEVER PLC ORD 3 1/9P,ULVR,ULVR.L,5.11,Consumer Defensive,FTSE 100,^FTSE,United Kingdom,LSE,100,113886461952
RIO TINTO PLC ORD 10P,RIO,RIO.L,3.48,Basic Materials,FTSE 100,^FTSE,United Kingdom,LSE,100,77470572544
BRITISH AMERICAN TOBACCO PLC OR,BATS,BATS.L,3.13,Consumer Defensive,FTSE 100,^FTSE,United Kingdom,LSE,100,69673615360
RELX PLC ORD 14 51/116P,REL,REL.L,3.1,Industrials,FTSE 100,^FTSE,United Kingdom,LSE,100,69030273024
BP PLC $0.25,BP,BP.L,2.96,Energy,FTSE 100,^FTSE,United Kingdom,LSE,100,66000187392
ROLLS-ROYCE HOLDINGS PLC ORD SH,RR,RR.L,3.01,Industrials,FTSE 100,^FTSE,United Kingdom,LSE,100,67001106432
GSK PLC ORD 31 1/4P,GSK,GSK.L,2.75,Healthcare,FTSE 100,^FTSE,United Kingdom,LSE,100,61266042880
LONDON STOCK EXCHANGE GROUP PLC,LSEG,LSEG.L,2.67,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,59419922432
BAE SYSTEMS PLC ORD 2.5P,BA,BA.L,2.18,Industrials,FTSE 100,^FTSE,United Kingdom,LSE,100,48632000512
NATIONAL GRID PLC ORD 12 204/47,NG,NG.L,2.11,Utilities,FTSE 100,^FTSE,United Kingdom,LSE,100,47057113088
DIAGEO PLC ORD 28 101/108P,DGE,DGE.L,2.07,Consumer Defensive,FTSE 100,^FTSE,United Kingdom,LSE,100,46065291264
COMPASS GROUP PLC ORD 11 1/20P,CPG,CPG.L,2.01,Consumer Cyclical,FTSE 100,^FTSE,United Kingdom,LSE,100,44727283712
BARCLAYS PLC ORD 25P,BARC,BARC.L,1.89,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,42190454784
LLOYDS BANKING GROUP PLC ORD 10,LLOY,LLOY.L,1.88,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,41811238912
GLENCORE PLC ORD USD0.01,GLEN,GLEN.L,1.72,Basic Materials,FTSE 100,^FTSE,Switzerland,LSE,100,38408294400
RECKITT BENCKISER GROUP PLC ORD,RKT,RKT.L,1.54,Consumer Defensive,FTSE 100,^FTSE,United Kingdom,LSE,100,34232233984
3I GROUP PLC ORD 73 19/22P,III,III.L,1.64,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,36485677056
HALEON PLC ORD GBP0.01,HLN,HLN.L,1.57,Healthcare,FTSE 100,^FTSE,United Kingdom,LSE,100,34936004608
NATWEST GROUP PLC ORD 107.69P,NWG,NWG.L,1.62,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,36074823680
EXPERIAN PLC ORD USD0.10,EXPN,EXPN.L,1.47,Industrials,FTSE 100,^FTSE,Ireland,LSE,100,32675778560
ANGLO AMERICAN PLC ORD USD0.549,AAL,AAL.L,1.26,Basic Materials,FTSE 100,^FTSE,United Kingdom,LSE,100,28005206016
STANDARD CHARTERED PLC ORD USD0,STAN,STAN.L,1.25,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,27893561344
TESCO PLC ORD 6 1/3P,TSCO,TSCO.L,1.13,Consumer Defensive,FTSE 100,^FTSE,United Kingdom,LSE,100,25100027904
IMPERIAL BRANDS PLC ORD 10P,IMB,IMB.L,1.03,Consumer Defensive,FTSE 100,^FTSE,United Kingdom,LSE,100,22980388864
PRUDENTIAL PLC ORD 5P,PRU,PRU.L,0.89,Financial Services,FTSE 100,^FTSE,Hong Kong,LSE,100,19896049664
ASHTEAD GROUP PLC ORD 10P,AHT,AHT.L,0.85,Industrials,FTSE 100,^FTSE,United Kingdom,LSE,100,18895296512
VODAFONE GROUP PLC ORD USD0.20 ,VOD,VOD.L,0.83,Communication Services,FTSE 100,^FTSE,United Kingdom,LSE,100,18397648896
ANTOFAGASTA PLC ORD 5P,ANTO,ANTO.L,0.81,Basic Materials,FTSE 100,^FTSE,United Kingdom,LSE,100,18036254720
SSE PLC ORD 50P,SSE,SSE.L,0.74,Utilities,FTSE 100,^FTSE,United Kingdom,LSE,100,16577224704
BT GROUP PLC ORD 5P,BT-A,BT-A.L,0.69,Communication Services,FTSE 100,^FTSE,United Kingdom,LSE,100,15322809344
AVIVA PLC ORD 32 17/19P,AV,AV.L,0.65,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,14516424704
LEGAL & GENERAL GROUP PLC ORD 2,LGEN,LGEN.L,0.64,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,14210682880
INTERCONTINENTAL HOTELS GROUP P,IHG,IHG.L,0.61,Consumer Cyclical,FTSE 100,^FTSE,United Kingdom,LSE,100,13674063872
ASSOCIATED BRITISH FOODS PLC OR,ABF,ABF.L,0.6,Consumer Defensive,FTSE 100,^FTSE,United Kingdom,LSE,100,13431331840
INTERNATIONAL CONSOLIDATED AIRL,IAG,IAG.L,0.6,Industrials,FTSE 100,^FTSE,United Kingdom,LSE,100,13450924032
COCA-COLA HBC AG ORD CHF6.70 (C,CCH,CCH.L,0.57,Consumer Defensive,FTSE 100,^FTSE,Switzerland,LSE,100,12611523584
SAGE GROUP PLC ORD 1 4/77P,SGE,SGE.L,0.53,Technology,FTSE 100,^FTSE,United Kingdom,LSE,100,11881637888
SCOTTISH MORTGAGE INVESTMENT TR,SMT,SMT.L,0.52,Non disponible,FTSE 100,^FTSE,Non disponible,LSE,100,11666481152
