Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
SAP SE                        I,SAP,SAP.DE,13.28,Technology,DAX,^GDAXI,Germany,GER,40,277765062656
SIEMENS AG                    N,SIE,SIE.DE,8.52,Industrials,DAX,^GDAXI,Germany,GER,40,178181865472
DEUTSCHE TELEKOM AG           N,DTE,DTE.DE,7.92,Communication Services,DAX,^GDAXI,Germany,GER,40,165585534976
Allianz SE                    v,ALV,ALV.DE,6.49,Financial Services,DAX,^GDAXI,Germany,GER,40,135727718400
Airbus SE                     A,AIR,AIR.DE,6.22,Industrials,DAX,^GDAXI,Netherlands,GER,40,130179883008
MUENCHENER RUECKVERS.-GES. AG V,MUV2,MUV2.DE,3.68,Financial Services,DAX,^GDAXI,Germany,GER,40,76992249856
MERCK KGAA                    I,MRK,MRK.DE,2.79,Healthcare,DAX,^GDAXI,Germany,GER,40,58325463040
Mercedes-Benz Group AG        N,MBG,MBG.DE,2.77,Consumer Cyclical,DAX,^GDAXI,Germany,GER,40,57995706368
Siemens Healthineers AG       N,SHL,SHL.DE,2.85,Healthcare,DAX,^GDAXI,Germany,GER,40,59611254784
RHEINMETALL AG                I,RHM,RHM.DE,2.82,Industrials,DAX,^GDAXI,Germany,GER,40,58960965632
VOLKSWAGEN AG                 V,VOW3,VOW3.DE,2.65,Consumer Cyclical,DAX,^GDAXI,Germany,GER,40,55349153792
BAYERISCHE MOTOREN WERKE AG   S,BMW,BMW.DE,2.44,Consumer Cyclical,DAX,^GDAXI,Germany,GER,40,51076222976
Dr. Ing. h.c. F. Porsche AG   I,P911,P911.DE,2.39,Consumer Cyclical,DAX,^GDAXI,Germany,GER,40,50009669632
DEUTSCHE POST AG              N,DHL,DHL.DE,2.35,Industrials,DAX,^GDAXI,Germany,GER,40,49135513600
DEUTSCHE BOERSE AG            N,DB1,DB1.DE,2.34,Financial Services,DAX,^GDAXI,Germany,GER,40,48953896960
BASF SE                       N,BAS,BAS.DE,2.24,Basic Materials,DAX,^GDAXI,Germany,GER,40,46884179968
Siemens Energy AG             N,ENR,ENR.DE,2.18,Industrials,DAX,^GDAXI,Germany,GER,40,45610057728
INFINEON TECHNOLOGIES AG      N,IFX,IFX.DE,2.12,Technology,DAX,^GDAXI,Germany,GER,40,44340334592
DEUTSCHE BANK AG              N,DBK,DBK.DE,1.99,Financial Services,DAX,^GDAXI,Germany,GER,40,41706373120
adidas AG                     N,ADS,ADS.DE,1.94,Consumer Cyclical,DAX,^GDAXI,Germany,GER,40,40477057024
E.ON SE                       N,EOAN,EOAN.DE,1.63,Utilities,DAX,^GDAXI,Germany,GER,40,34192152576
HANNOVER RUECK SE NA O.N.,HNR1,HNR1.DE,1.57,Financial Services,DAX,^GDAXI,Germany,GER,40,32766205952
Daimler Truck Holding AG      N,DTG,DTG.DE,1.58,Industrials,DAX,^GDAXI,Germany,GER,40,32955426816
BEIERSDORF AG                 I,BEI,BEI.DE,1.44,Consumer Defensive,DAX,^GDAXI,Germany,GER,40,30089248768
Heidelberg Materials AG       I,HEI,HEI.DE,1.48,Basic Materials,DAX,^GDAXI,Germany,GER,40,30891894784
Henkel AG & Co. KGaA          I,HEN3,HEN3.DE,1.42,Consumer Defensive,DAX,^GDAXI,Germany,GER,40,29603647488
Commerzbank AG                I,CBK,CBK.DE,1.34,Financial Services,DAX,^GDAXI,Germany,GER,40,27993749504
RWE AG                        I,RWE,RWE.DE,1.15,Utilities,DAX,^GDAXI,Germany,GER,40,24115324928
Bayer AG                      N,BAYN,BAYN.DE,1.1,Healthcare,DAX,^GDAXI,Germany,GER,40,23013281792
Fresenius SE & Co. KGaA       I,FRE,FRE.DE,1.05,Healthcare,DAX,^GDAXI,Germany,GER,40,22011301888
Vonovia SE                    N,VNA,VNA.DE,1.03,Real Estate,DAX,^GDAXI,Germany,GER,40,21608120320
MTU Aero Engines AG           N,MTX,MTX.DE,0.84,Industrials,DAX,^GDAXI,Germany,GER,40,17647609856
SARTORIUS AG                  V,SRT3,SRT3.DE,0.71,Healthcare,DAX,^GDAXI,Germany,GER,40,14830809088
CONTINENTAL AG                I,CON,CON.DE,0.66,Consumer Cyclical,DAX,^GDAXI,Germany,GER,40,13804413952
Symrise AG                    I,SY1,SY1.DE,0.63,Basic Materials,DAX,^GDAXI,Germany,GER,40,13155341312
Fresenius Medical Care AG     I,FME,FME.DE,0.61,Healthcare,DAX,^GDAXI,Germany,GER,40,12854423552
Porsche Automobil Holding SE  I,PAH3,PAH3.DE,0.57,Consumer Cyclical,DAX,^GDAXI,Germany,GER,40,11911049216
Brenntag SE                   N,BNR,BNR.DE,0.45,Basic Materials,DAX,^GDAXI,Germany,GER,40,9426872320
Zalando SE                    I,ZAL,ZAL.DE,0.39,Consumer Cyclical,DAX,^GDAXI,Germany,GER,40,8082032640
Qiagen N.V.                   A,QIA,QIA.DE,0.37,Healthcare,DAX,^GDAXI,Netherlands,GER,40,7759609344
