Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
COFINIMMO,COFB,COFB.BR,0.71,Real Estate,BEL 20,^BFX,Belgium,BRU,19,2341793792
ARGENX SE,ARGX,ARGX.BR,9.94,Healthcare,BEL 20,^BFX,Netherlands,BRU,19,32822638592
ACKERMANS V.HAAREN,ACKB,ACKB.BR,1.94,Industrials,BEL 20,^BFX,Belgium,BRU,19,6408990720
SOLVAY,SOLB,SOLB.BR,1.09,Basic Materials,BEL 20,^BFX,Belgium,BRU,19,3607098368
PROXIMUS,PROX,PROX.BR,0.66,Communication Services,BEL 20,^BFX,Belgium,BRU,19,2180938240
AEDIFICA,AED,AED.BR,0.9,Real Estate,BEL 20,^BFX,Belgium,BRU,19,2957172224
AGEAS,AGS,AGS.BR,2.99,Financial Services,BEL 20,^BFX,Belgium,BRU,19,9870989312
WAREHOUSES DE PAUW,WDP,WDP.BR,1.49,Real Estate,BEL 20,^BFX,Belgium,BRU,19,4914480640
UMICORE,UMI,UMI.BR,0.65,Industrials,BEL 20,^BFX,Belgium,BRU,19,2133066368
GALAPAGOS,GLPG,GLPG.AS,0.49,Healthcare,BEL 20,^BFX,Belgium,AMS,19,1613352832
GBL,GBLB,GBLB.BR,2.53,Financial Services,BEL 20,^BFX,Belgium,BRU,19,8362183168
ING GROEP N.V.,INGA,INGA.AS,17.11,Financial Services,BEL 20,^BFX,Netherlands,AMS,19,56524824576
KBC,KBC,KBC.BR,10.25,Financial Services,BEL 20,^BFX,Belgium,BRU,19,33853515776
Colruyt Group N.V.,COLR,COLR.BR,1.43,Consumer Defensive,BEL 20,^BFX,Belgium,BRU,19,4709817856
AB INBEV,ABI,ABI.BR,34.19,Consumer Defensive,BEL 20,^BFX,Belgium,BRU,19,112919658496
SOFINA,SOF,SOF.BR,2.32,Financial Services,BEL 20,^BFX,Belgium,BRU,19,7653965824
UCB,UCB,UCB.BR,10.3,Healthcare,BEL 20,^BFX,Belgium,BRU,19,34016694272
BARCO,BAR,BAR.BR,0.33,Technology,BEL 20,^BFX,Belgium,BRU,19,1077399168
APERAM,APAM,APAM.AS,0.7,Basic Materials,BEL 20,^BFX,Luxembourg,AMS,19,2322089216
