Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
Coloplast B A/S,COLO-B,COLO-B.CO,3.33,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,163841818624
GN Store Nord A/S,GN,GN.CO,0.35,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,17211455488
Vestas Wind Systems A/S,VWS,VWS.CO,2.13,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,104824971264
Novo Nordisk B A/S,NOVO-B,NOVO-B.CO,47.15,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,2317627949056
Ambu A/S,AMBU-B,AMBU-B.CO,0.65,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,32033396736
Pandora A/S,PNDORA,PNDORA.CO,1.77,Consumer Cyclical,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,86879576064
DSV A/S,DSV,DSV.CO,6.71,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,329862774784
Demant A/S,DEMANT,DEMANT.CO,1.09,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,53423910912
Tryg A/S,TRYG,TRYG.CO,1.98,Financial Services,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,97364271104
Novonesis (Novozymes A/S) B,NSIS-B,NSIS-B.CO,3.9,Basic Materials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,191779028992
Royal UNIBREW A/S,RBREW,RBREW.CO,0.56,Consumer Defensive,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,27372810240
Bavarian Nordic A/S,BAVA,BAVA.CO,0.26,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,12869823488
Jyske Bank A/S,JYSK,JYSK.CO,0.73,Financial Services,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,35962933248
Danske Bank A/S,DANSKE,DANSKE.CO,4.05,Financial Services,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,198889979904
Nordea Bank Abp,NDA-DK,NDA-DK.CO,6.92,Financial Services,OMX Copenhagen 25,^OMXC25,Finland,CPH,25,340273856512
ORSTED A/S,ORSTED,ORSTED.CO,2.72,Utilities,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,133550678016
ISS A/S,ISS,ISS.CO,0.59,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,28849461248
Sydbank A/S,SYDB,SYDB.CO,0.47,Financial Services,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,22961950720
NKT A/S,NKT,NKT.CO,0.55,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,27022542848
A.P. Møller - Mærsk B A/S,MAERSK-B,MAERSK-B.CO,3.79,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,186139951104
A.P. Møller - Mærsk A A/S,MAERSK-A,MAERSK-A.CO,3.78,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,186038648832
Zealand Pharma A/S,ZEAL,ZEAL.CO,0.84,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,41189183488
Carlsberg B A/S,CARL-B,CARL-B.CO,2.5,Consumer Defensive,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,122731913216
Rockwool A/S ser. B,ROCK-B,ROCK-B.CO,1.36,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,67074318336
Genmab A/S,GMAB,GMAB.CO,1.83,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,89923534848
