Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
INDUSTRIA DE DISE...O TEXTIL S.,ITX,ITX.MC,17.59,Consumer Cyclical,IBEX 35,^IBEX,Spain,MCE,35,139341004800.0
BANCO SANTANDER S.A.,SAN,SAN.MC,11.68,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,92496863232.0
ACCIONES IBERDROLA,IBE,IBE.MC,11.02,Utilities,IBEX 35,^IBEX,Spain,MCE,35,87294533632.0
BANCO BILBAO VIZCAYA ARGENTARIA,BBVA,BBVA.MC,9.45,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,74864844800.0
"CAIXABANK, S.A.",CABK,CABK.MC,6.24,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,49446490112.0
"AENA, S.M.E., S.A.",AENA,AENA.MC,4.06,Industrials,IBEX 35,^IBEX,Spain,MCE,35,32190001152.0
"AMADEUS IT GROUP, S.A.",AMS,AMS.MC,3.81,Technology,IBEX 35,^IBEX,Spain,MCE,35,30174922752.0
FERROVIAL SE,FER,FER.MC,3.6,Industrials,IBEX 35,^IBEX,Netherlands,MCE,35,28528730112.0
"TELEFONICA,S.A.",TEF,TEF.MC,3.14,Communication Services,IBEX 35,^IBEX,Spain,MCE,35,24892551168.0
"NATURGY ENERGY GROUP, S.A.",NTGY,NTGY.MC,3.05,Utilities,IBEX 35,^IBEX,Spain,MCE,35,24152852480.0
ARCELORMITTAL SA,MTS,MTS.MC,2.81,Basic Materials,IBEX 35,^IBEX,Luxembourg,MCE,35,22272491520.0
"ENDESA,S.A.",ELE,ELE.MC,2.94,Utilities,IBEX 35,^IBEX,Spain,MCE,35,23298686976.0
"CELLNEX TELECOM, S.A.",CLNX,CLNX.MC,2.9,Real Estate,IBEX 35,^IBEX,Spain,MCE,35,22946895872.0
INTL CONSOLIDATED AIRLINES GROU,IAG,IAG.MC,2.01,Industrials,IBEX 35,^IBEX,United Kingdom,MCE,35,15890861056.0
BANCO DE SABADELL,SAB,SAB.MC,1.83,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,14492886016.0
"ACS,ACTIVIDADES DE CONSTRUCCION",ACS,ACS.MC,1.7,Industrials,IBEX 35,^IBEX,Spain,MCE,35,13429866496.0
"REPSOL,  S.A.",REP,REP.MC,1.68,Energy,IBEX 35,^IBEX,Spain,MCE,35,13333315584.0
Non disponible,PUIG.MC,PUIG.MC,,Non disponible,IBEX 35,^IBEX,Non disponible,Non disponible,35,
"REDEIA CORPORACION, S.A.",RED,RED.MC,1.2,Utilities,IBEX 35,^IBEX,Spain,MCE,35,9527392256.0
"BANKINTER, S.A.",BKT,BKT.MC,1.16,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,9193464832.0
"MAPFRE, S.A.",MAP,MAP.MC,1.08,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,8582445568.0
"ACCIONA, S.A.",ANA,ANA.MC,0.83,Industrials,IBEX 35,^IBEX,Spain,MCE,35,6543796224.0
CORPORACI...N ACCIONA ENERG...A,ANE,ANE.MC,0.72,Utilities,IBEX 35,^IBEX,Spain,MCE,35,5724294656.0
GRIFOLS S.A.,GRF,GRF.MC,0.73,Healthcare,IBEX 35,^IBEX,Spain,MCE,35,5816528896.0
"MERLIN PROPERTIES SOCIMI, S.A.",MRL,MRL.MC,0.69,Real Estate,IBEX 35,^IBEX,Spain,MCE,35,5441316864.0
"INDRA SISTEMAS S.A., SERIE A",IDR,IDR.MC,0.56,Technology,IBEX 35,^IBEX,Spain,MCE,35,4457971200.0
"UNICAJA BANCO, S.A.",UNI,UNI.MC,0.56,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,4424300032.0
"FLUIDRA, S.A.",FDR,FDR.MC,0.53,Industrials,IBEX 35,^IBEX,Spain,MCE,35,4180012544.0
COMPA...IA DE DISTRIBUCION INTE,LOG,LOG.MC,0.46,Industrials,IBEX 35,^IBEX,Spain,MCE,35,3640053760.0
"ENAGAS,S.A.",ENG,ENG.MC,0.42,Utilities,IBEX 35,^IBEX,Spain,MCE,35,3351745792.0
"INMOBILIARIA COLONIAL, SOCIMI S",COL,COL.MC,0.42,Real Estate,IBEX 35,^IBEX,Spain,MCE,35,3290684928.0
LABORATORIOS FARMACEUTICOS ROVI,ROVI,ROVI.MC,0.34,Healthcare,IBEX 35,^IBEX,Spain,MCE,35,2662331392.0
"ACERINOX, S.A.",ACX,ACX.MC,0.35,Basic Materials,IBEX 35,^IBEX,Spain,MCE,35,2793857024.0
"SACYR, S.A.",SCYR,SCYR.MC,0.32,Industrials,IBEX 35,^IBEX,Spain,MCE,35,2546071808.0
SOLARIA ENERGIA Y MEDIO AMBIENT,SLR,SLR.MC,0.12,Utilities,IBEX 35,^IBEX,Spain,MCE,35,919639360.0
