Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
LVMH,MC,MC.PA,5.92,Consumer Cyclical,STOXX 50,^STOXX50E,France,PAR,50,308925956096
SAP SE                        I,SAP,SAP.DE,5.34,Technology,STOXX 50,^STOXX50E,Germany,GER,50,278290038784
HERMES INTL,RMS,RMS.PA,5.12,Consumer Cyclical,STOXX 50,^STOXX50E,France,PAR,50,266755997696
ASML HOLDING,ASML,ASML.AS,4.94,Technology,STOXX 50,^STOXX50E,Netherlands,AMS,50,257485357056
L'OREAL,OR,OR.PA,3.76,Consumer Defensive,STOXX 50,^STOXX50E,France,PAR,50,195852058624
INDUSTRIA DE DISE...O TEXTIL S.,ITX,ITX.MC,2.67,Consumer Cyclical,STOXX 50,^STOXX50E,Spain,MCE,50,139434409984
SIEMENS AG                    N,SIE,SIE.DE,3.43,Industrials,STOXX 50,^STOXX50E,Germany,GER,50,178769281024
DEUTSCHE TELEKOM AG           N,DTE,DTE.DE,3.17,Communication Services,STOXX 50,^STOXX50E,Germany,GER,50,165291491328
SCHNEIDER ELECTRIC SE,SU,SU.PA,2.46,Industrials,STOXX 50,^STOXX50E,France,PAR,50,128485318656
AIRBUS SE,AIR,AIR.PA,2.5,Industrials,STOXX 50,^STOXX50E,Netherlands,PAR,50,130276065280
SANOFI,SAN,SAN.PA,2.56,Healthcare,STOXX 50,^STOXX50E,France,PAR,50,133507334144
TOTALENERGIES,TTE,TTE.PA,2.45,Energy,STOXX 50,^STOXX50E,France,PAR,50,127602343936
Allianz SE                    v,ALV,ALV.DE,2.6,Financial Services,STOXX 50,^STOXX50E,Germany,GER,50,135689125888
ESSILORLUXOTTICA,EL,EL.PA,2.36,Healthcare,STOXX 50,^STOXX50E,France,PAR,50,123138301952
SAFRAN,SAF,SAF.PA,2.01,Industrials,STOXX 50,^STOXX50E,France,PAR,50,104995422208
AIR LIQUIDE,AI,AI.PA,2.0,Basic Materials,STOXX 50,^STOXX50E,France,PAR,50,104534147072
AB INBEV,ABI,ABI.BR,2.17,Consumer Defensive,STOXX 50,^STOXX50E,Belgium,BRU,50,112959143936
PROSUS,PRX,PRX.AS,1.93,Communication Services,STOXX 50,^STOXX50E,Netherlands,AMS,50,100736196608
ACCIONES IBERDROLA,IBE,IBE.MC,1.67,Utilities,STOXX 50,^STOXX50E,Spain,MCE,50,87294533632
AXA,CS,CS.PA,1.65,Financial Services,STOXX 50,^STOXX50E,France,PAR,50,85865611264
BANCO SANTANDER S.A.,SAN,SAN.MC,1.78,Financial Services,STOXX 50,^STOXX50E,Spain,MCE,50,92617441280
INTESA SANPAOLO,ISP,ISP.MI,1.65,Financial Services,STOXX 50,^STOXX50E,Italy,MIL,50,85794570240
FERRARI,RACE,RACE.MI,1.44,Consumer Cyclical,STOXX 50,^STOXX50E,Italy,MIL,50,75030929408
BNP PARIBAS ACT.A,BNP,BNP.PA,1.63,Financial Services,STOXX 50,^STOXX50E,France,PAR,50,85081202688
MUENCHENER RUECKVERS.-GES. AG V,MUV2,MUV2.DE,1.48,Financial Services,STOXX 50,^STOXX50E,Germany,GER,50,76992249856
UNICREDIT,UCG,UCG.MI,1.57,Financial Services,STOXX 50,^STOXX50E,Italy,MIL,50,81745805312
ENEL,ENEL,ENEL.MI,1.37,Utilities,STOXX 50,^STOXX50E,Italy,MIL,50,71285293056
BANCO BILBAO VIZCAYA ARGENTARIA,BBVA,BBVA.MC,1.44,Financial Services,STOXX 50,^STOXX50E,Spain,MCE,50,74979966976
VINCI,DG,DG.PA,1.26,Industrials,STOXX 50,^STOXX50E,France,PAR,50,65674493952
Mercedes-Benz Group AG        N,MBG,MBG.DE,1.11,Consumer Cyclical,STOXX 50,^STOXX50E,Germany,GER,50,58005340160
ING GROEP N.V.,INGA,INGA.AS,1.08,Financial Services,STOXX 50,^STOXX50E,Netherlands,AMS,50,56561549312
VOLKSWAGEN AG                 V,VOW3,VOW3.DE,1.06,Consumer Cyclical,STOXX 50,^STOXX50E,Germany,GER,50,55349153792
BAYERISCHE MOTOREN WERKE AG   S,BMW,BMW.DE,0.98,Consumer Cyclical,STOXX 50,^STOXX50E,Germany,GER,50,50889945088
ADYEN,ADYEN,ADYEN.AS,0.93,Technology,STOXX 50,^STOXX50E,Netherlands,AMS,50,48484999168
adidas AG                     N,ADS,ADS.DE,0.78,Consumer Cyclical,STOXX 50,^STOXX50E,Germany,GER,50,40602038272
SAINT GOBAIN,SGO,SGO.PA,0.97,Industrials,STOXX 50,^STOXX50E,France,PAR,50,50580234240
DEUTSCHE BOERSE AG            N,DB1,DB1.DE,0.94,Financial Services,STOXX 50,^STOXX50E,Germany,GER,50,48990617600
DANONE,BN,BN.PA,0.89,Consumer Defensive,STOXX 50,^STOXX50E,France,PAR,50,46482370560
