Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
LVMH,MC,MC.PA,12.07,Consumer Cyclical,CAC 40,^FCHI,France,PAR,40,308774535168
HERMES INTL,RMS,RMS.PA,10.41,Consumer Cyclical,CAC 40,^FCHI,France,PAR,40,266119593984
L'OREAL,OR,OR.PA,7.69,Consumer Defensive,CAC 40,^FCHI,France,PAR,40,196573380608
SANOFI,SAN,SAN.PA,5.22,Healthcare,CAC 40,^FCHI,France,PAR,40,133507334144
AIRBUS SE,AIR,AIR.PA,5.09,Industrials,CAC 40,^FCHI,Netherlands,PAR,40,130244173824
SCHNEIDER ELECTRIC SE,SU,SU.PA,5.01,Industrials,CAC 40,^FCHI,France,PAR,40,128229875712
TOTALENERGIES,TTE,TTE.PA,4.99,Energy,CAC 40,^FCHI,France,PAR,40,127535669248
ESSILORLUXOTTICA,EL,EL.PA,4.81,Healthcare,CAC 40,^FCHI,France,PAR,40,123044421632
AIR LIQUIDE,AI,AI.PA,4.08,Basic Materials,CAC 40,^FCHI,France,PAR,40,104430133248
SAFRAN,SAF,SAF.PA,4.1,Industrials,CAC 40,^FCHI,France,PAR,40,104910512128
AXA,CS,CS.PA,3.36,Financial Services,CAC 40,^FCHI,France,PAR,40,85799608320
BNP PARIBAS ACT.A,BNP,BNP.PA,3.33,Financial Services,CAC 40,^FCHI,France,PAR,40,85035933696
VINCI,DG,DG.PA,2.56,Industrials,CAC 40,^FCHI,France,PAR,40,65590185984
DASSAULT SYSTEMES,DSY,DSY.PA,1.98,Technology,CAC 40,^FCHI,France,PAR,40,50690007040
THALES,HO,HO.PA,1.99,Industrials,CAC 40,^FCHI,France,PAR,40,50911379456
SAINT GOBAIN,SGO,SGO.PA,1.96,Industrials,CAC 40,^FCHI,France,PAR,40,50232098816
CREDIT AGRICOLE,ACA,ACA.PA,1.94,Financial Services,CAC 40,^FCHI,France,PAR,40,49512767488
DANONE,BN,BN.PA,1.82,Consumer Defensive,CAC 40,^FCHI,France,PAR,40,46521020416
ENGIE,ENGI,ENGI.PA,1.64,Utilities,CAC 40,^FCHI,France,PAR,40,41880915968
STELLANTIS NV,STLAP,STLAP.PA,1.28,Consumer Cyclical,CAC 40,^FCHI,Netherlands,PAR,40,32646766592
ORANGE,ORA,ORA.PA,1.23,Communication Services,CAC 40,^FCHI,France,PAR,40,31485450240
KERING,KER,KER.PA,1.07,Consumer Cyclical,CAC 40,^FCHI,France,PAR,40,27475109888
SOCIETE GENERALE,GLE,GLE.PA,1.25,Financial Services,CAC 40,^FCHI,France,PAR,40,31977697280
LEGRAND,LR,LR.PA,1.09,Industrials,CAC 40,^FCHI,France,PAR,40,27790659584
CAPGEMINI,CAP,CAP.PA,0.98,Technology,CAC 40,^FCHI,France,PAR,40,25006327808
PERNOD RICARD,RI,RI.PA,0.99,Consumer Defensive,CAC 40,^FCHI,France,PAR,40,25242583040
MICHELIN,ML,ML.PA,0.95,Non disponible,CAC 40,^FCHI,Non disponible,PAR,40,24238002176
PUBLICIS GROUPE SA,PUB,PUB.PA,0.91,Communication Services,CAC 40,^FCHI,France,PAR,40,23356088320
VEOLIA ENVIRON.,VIE,VIE.PA,0.87,Industrials,CAC 40,^FCHI,France,PAR,40,22286254080
STMICROELECTRONICS,STMPA,STMPA.PA,0.8,Technology,CAC 40,^FCHI,Netherlands,PAR,40,20509710336
RENAULT,RNO,RNO.PA,0.55,Consumer Cyclical,CAC 40,^FCHI,France,PAR,40,14044549120
BOUYGUES,EN,EN.PA,0.52,Industrials,CAC 40,^FCHI,France,PAR,40,13388268544
BUREAU VERITAS,BVI,BVI.PA,0.5,Industrials,CAC 40,^FCHI,France,PAR,40,12758284288
UNIBAIL-RODAMCO-WESTFIELD,URW,URW.PA,0.42,Real Estate,CAC 40,^FCHI,France,PAR,40,10865858560
ACCOR,AC,AC.PA,0.43,Consumer Cyclical,CAC 40,^FCHI,France,PAR,40,11042296832
EUROFINS SCIENT.,ERF,ERF.PA,0.36,Healthcare,CAC 40,^FCHI,Luxembourg,PAR,40,9262397440
CARREFOUR,CA,CA.PA,0.33,Consumer Defensive,CAC 40,^FCHI,France,PAR,40,8508631040
EDENRED,EDEN,EDEN.PA,0.3,Financial Services,CAC 40,^FCHI,France,PAR,40,7787793920
TELEPERFORMANCE,TEP,TEP.PA,0.23,Industrials,CAC 40,^FCHI,France,PAR,40,5773366272
ARCELORMITTAL SA,MT,MT.AS,0.87,Basic Materials,CAC 40,^FCHI,Luxembourg,AMS,40,22280177664
