Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
FERRARI,RACE,RACE.MI,9.62,Consumer Cyclical,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,74976673792
INTESA SANPAOLO,ISP,ISP.MI,11.0,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,85651005440
UNICREDIT,UCG,UCG.MI,10.44,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,81349443584
ENEL,ENEL,ENEL.MI,9.16,Utilities,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,71376683008
GENERALI,G,G.MI,6.17,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,48028143616
ENI,ENI,ENI.MI,5.34,Energy,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,41635586048
STELLANTIS,STLAM,STLAM.MI,4.19,Consumer Cyclical,FTSE MIB Index,FTSEMIB.MI,Netherlands,MIL,40,32634691584
LEONARDO,LDO,LDO.MI,3.41,Industrials,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,26573744128
POSTE ITALIANE,PST,PST.MI,2.72,Industrials,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,21179983872
TENARIS,TEN,TEN.MI,2.4,Energy,FTSE MIB Index,FTSEMIB.MI,Luxembourg,MIL,40,18663346176
STMICROELECTRONICS,STMMI,STMMI.MI,2.63,Technology,FTSE MIB Index,FTSEMIB.MI,Netherlands,MIL,40,20495796224
MONCLER,MONC,MONC.MI,2.21,Consumer Cyclical,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,17207042048
PRYSMIAN,PRY,PRY.MI,2.1,Industrials,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,16332368896
TERNA,TRN,TRN.MI,2.03,Utilities,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,15810030592
SNAM,SRG,SRG.MI,1.97,Utilities,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,15319289856
BANCO BPM,BAMI,BAMI.MI,1.9,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,14810354688
MEDIOBANCA,MB,MB.MI,1.82,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,14188162048
FINECOBANK,FBK,FBK.MI,1.48,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,11500247040
RECORDATI ORD,REC,REC.MI,1.39,Healthcare,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,10855429120
UNIPOL,UNI,UNI.MI,1.36,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,10570684416
BPER BANCA,BPE,BPE.MI,1.35,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,10495098880
BANCA MEDIOLANUM,BMED,BMED.MI,1.32,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,10258118656
BUZZI,BZU,BZU.MI,1.22,Basic Materials,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,9500161024
BANCA MONTE PASCHI SIENA,BMPS,BMPS.MI,1.16,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,9004263424
INWIT,INW,INW.MI,1.14,Real Estate,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,8865829888
BRUNELLO CUCINELLI,BC,BC.MI,0.96,Consumer Cyclical,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,7460910080
A2A,A2A,A2A.MI,0.91,Utilities,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,7092908032
CAMPARI,CPR,CPR.MI,0.93,Consumer Defensive,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,7251216384
NEXI,NEXI,NEXI.MI,0.82,Technology,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,6354831872
TELECOM ITALIA,TIT,TIT.MI,0.82,Communication Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,6378175488
PIRELLI & C,PIRC,PIRC.MI,0.75,Consumer Cyclical,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,5880214016
HERA,HER,HER.MI,0.7,Utilities,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,5482477056
DIASORIN,DIA,DIA.MI,0.69,Healthcare,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,5381001728
IVECO GROUP,IVG,IVG.MI,0.53,Industrials,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,4163306496
ITALGAS,IG,IG.MI,0.64,Utilities,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,4984169472
BCA POP SONDRIO,BPSO,BPSO.MI,0.65,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,5042573824
AMPLIFON,AMP,AMP.MI,0.59,Healthcare,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,4569414144
SAIPEM,SPM,SPM.MI,0.54,Energy,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,4182262528
INTERPUMP GROUP,IP,IP.MI,0.49,Industrials,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,3825266944
AZIMUT,AZM,AZM.MI,0.47,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,3662281216
