Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
TOYOTA MOTOR CORP,7203,7203.T,5.43,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,35881373138944
MITSUBISHI UFJ FINANCIAL GROUP ,8306,8306.T,3.5,Financial Services,Nikkei 225,^N225,Japan,JPX,225,23078969016320
SONY GROUP CORPORATION,6758,6758.T,3.21,Technology,Nikkei 225,^N225,Japan,JPX,225,21210268172288
HITACHI,6501,6501.T,2.53,Industrials,Nikkei 225,^N225,Japan,JPX,225,16695528783872
SUMITOMO MITSUI FINANCIAL GROUP,8316,8316.T,2.27,Financial Services,Nikkei 225,^N225,Japan,JPX,225,14984083931136
KEYENCE CORP,6861,6861.T,2.26,Technology,Nikkei 225,^N225,Japan,JPX,225,14891034345472
FAST RETAILING CO LTD,9983,9983.T,2.12,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,14007574462464
RECRUIT HOLDINGS CO LTD,6098,6098.T,1.91,Communication Services,Nikkei 225,^N225,Japan,JPX,225,12585294364672
NIPPON TEL & TEL CORP,9432,9432.T,1.85,Communication Services,Nikkei 225,^N225,Japan,JPX,225,12220446539776
NINTENDO CO LTD,7974,7974.T,1.81,Communication Services,Nikkei 225,^N225,Japan,JPX,225,11951026470912
SOFTBANK GROUP CORP,9984,9984.T,1.71,Communication Services,Nikkei 225,^N225,Japan,JPX,225,11285720727552
CHUGAI PHARMACEUTICAL CO,4519,4519.T,1.72,Healthcare,Nikkei 225,^N225,Japan,JPX,225,11322891698176
TOKIO MARINE HOLDINGS INC,8766,8766.T,1.63,Financial Services,Nikkei 225,^N225,Japan,JPX,225,10764378177536
MIZUHO FINANCIAL GROUP,8411,8411.T,1.6,Financial Services,Nikkei 225,^N225,Japan,JPX,225,10544708845568
SOFTBANK CORP.,9434,9434.T,1.51,Communication Services,Nikkei 225,^N225,Japan,JPX,225,9991366901760
MITSUBISHI CORP,8058,8058.T,1.55,Industrials,Nikkei 225,^N225,Japan,JPX,225,10260971520000
KDDI CORPORATION,9433,9433.T,1.43,Communication Services,Nikkei 225,^N225,Japan,JPX,225,9451740332032
TOKYO ELECTRON,8035,8035.T,1.49,Technology,Nikkei 225,^N225,Japan,JPX,225,9839472279552
ITOCHU CORP,8001,8001.T,1.47,Industrials,Nikkei 225,^N225,Japan,JPX,225,9689176735744
SHIN-ETSU CHEMICAL CO,4063,4063.T,1.31,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,8662802235392
MITSUBISHI HEAVY INDUSTRIES,7011,7011.T,1.3,Industrials,Nikkei 225,^N225,Japan,JPX,225,8582000017408
MITSUI & CO,8031,8031.T,1.2,Industrials,Nikkei 225,^N225,Japan,JPX,225,7941386665984
TAKEDA PHARMACEUTICAL CO LTD,4502,4502.T,1.06,Healthcare,Nikkei 225,^N225,Japan,JPX,225,7001673826304
JAPAN TOBACCO INC,2914,2914.T,1.05,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,6942557208576
HONDA MOTOR CO,7267,7267.T,0.97,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,6393658605568
DAIICHI SANKYO COMPANY LIMITED,4568,4568.T,1.0,Healthcare,Nikkei 225,^N225,Japan,JPX,225,6580293074944
HOYA CORP,7741,7741.T,0.91,Healthcare,Nikkei 225,^N225,Japan,JPX,225,6006187229184
MITSUBISHI ELECTRIC CORP,6503,6503.T,0.9,Industrials,Nikkei 225,^N225,Japan,JPX,225,5927142424576
ADVANTEST CORP,6857,6857.T,0.92,Technology,Nikkei 225,^N225,Japan,JPX,225,6049018413056
SEVEN & I HOLDINGS CO LTD,3382,3382.T,0.85,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,5625548374016
FUJITSU,6702,6702.T,0.81,Technology,Nikkei 225,^N225,Japan,JPX,225,5325356269568
DENSO CORP,6902,6902.T,0.84,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,5537309655040
MS&AD INS GP HLDGS,8725,8725.T,0.75,Financial Services,Nikkei 225,^N225,Japan,JPX,225,4966033391616
JAPAN POST HLDGS CO LTD,6178,6178.T,0.71,Financial Services,Nikkei 225,^N225,Japan,JPX,225,4667661615104
ORIENTAL LAND CO,4661,4661.T,0.78,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,5116614672384
DAIKIN INDUSTRIES,6367,6367.T,0.74,Industrials,Nikkei 225,^N225,Japan,JPX,225,4867749838848
CANON INC,7751,7751.T,0.68,Technology,Nikkei 225,^N225,Japan,JPX,225,4517548523520
MURATA MANUFACTURING CO,6981,6981.T,0.7,Technology,Nikkei 225,^N225,Japan,JPX,225,4648450654208
SOMPO HOLDINGS INC,8630,8630.T,0.65,Financial Services,Nikkei 225,^N225,Japan,JPX,225,4277830680576
PANASONIC HOLDINGS CORP,6752,6752.T,0.63,Technology,Nikkei 225,^N225,Japan,JPX,225,4187087175680
BRIDGESTONE CORP,5108,5108.T,0.62,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,4089101942784
DAI-ICHI LIFE HOLDINGS INC,8750,8750.T,0.63,Financial Services,Nikkei 225,^N225,Japan,JPX,225,4168764358656
SUMITOMO CORP,8053,8053.T,0.63,Industrials,Nikkei 225,^N225,Japan,JPX,225,4145391599616
OTSUKA HLDGS CO LTD,4578,4578.T,0.62,Healthcare,Nikkei 225,^N225,Japan,JPX,225,4091574484992
TERUMO CORP,4543,4543.T,0.62,Healthcare,Nikkei 225,^N225,Japan,JPX,225,4066354135040
KOMATSU,6301,6301.T,0.62,Industrials,Nikkei 225,^N225,Japan,JPX,225,4106642522112
RENESAS ELECTRONICS CORP,6723,6723.T,0.61,Technology,Nikkei 225,^N225,Japan,JPX,225,4057077645312
MARUBENI CORP,8002,8002.T,0.6,Industrials,Nikkei 225,^N225,Japan,JPX,225,3980999786496
FANUC CORPORATION,6954,6954.T,0.61,Industrials,Nikkei 225,^N225,Japan,JPX,225,4034504687616
NEC CORP,6701,6701.T,0.61,Technology,Nikkei 225,^N225,Japan,JPX,225,4047424978944
NTT DATA GROUP CORPORATION,9613,9613.T,0.59,Technology,Nikkei 225,^N225,Japan,JPX,225,3864160108544
SMC CORP,6273,6273.T,0.54,Industrials,Nikkei 225,^N225,Japan,JPX,225,3586085617664
LY CORPORATION,4689,4689.T,0.56,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,3720220770304
DISCO CORPORATION,6146,6146.T,0.59,Technology,Nikkei 225,^N225,Japan,JPX,225,3868808970240
FUJIFILM HOLDINGS CORPORATION,4901,4901.T,0.55,Industrials,Nikkei 225,^N225,Japan,JPX,225,3601176985600
NIPPON STEEL CORPORATION,5401,5401.T,0.54,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,3573538881536
MITSUI FUDOSAN,8801,8801.T,0.53,Real Estate,Nikkei 225,^N225,Japan,JPX,225,3479757127680
EAST JAPAN RAILWAY CO,9020,9020.T,0.52,Industrials,Nikkei 225,^N225,Japan,JPX,225,3429505433600
SUZUKI MOTOR CORP,7269,7269.T,0.52,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,3419648819200
ORIX CORPORATION,8591,8591.T,0.54,Financial Services,Nikkei 225,^N225,Japan,JPX,225,3535761047552
AEON CO LTD,8267,8267.T,0.51,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,3337025486848
BANDAI NAMCO HOLDINGS INC,7832,7832.T,0.49,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,3242124378112
DAIWA HOUSE INDUSTRY CO,1925,1925.T,0.46,Real Estate,Nikkei 225,^N225,Japan,JPX,225,3062648537088
NIDEC CORPORATION,6594,6594.T,0.47,Industrials,Nikkei 225,^N225,Japan,JPX,225,3084682788864
AJINOMOTO CO INC,2802,2802.T,0.46,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,3024473554944
CENTRAL JAPAN RAILWAY CO,9022,9022.T,0.45,Industrials,Nikkei 225,^N225,Japan,JPX,225,2960840982528
KAO CORP,4452,4452.T,0.45,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,3000573100032
TDK CORP,6762,6762.T,0.45,Technology,Nikkei 225,^N225,Japan,JPX,225,2977271644160
RESONA HOLDINGS,8308,8308.T,0.45,Financial Services,Nikkei 225,^N225,Japan,JPX,225,2971473018880
ASAHI GROUP HLDGS,2502,2502.T,0.43,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,2867437764608
NOMURA RESEARCH INSTITUTE,4307,4307.T,0.43,Technology,Nikkei 225,^N225,Japan,JPX,225,2832434724864
SUMITOMO MITSUI TRUST GP INC,8309,8309.T,0.41,Financial Services,Nikkei 225,^N225,Japan,JPX,225,2720805683200
TOYOTA TSUSHO CORP,8015,8015.T,0.41,Industrials,Nikkei 225,^N225,Japan,JPX,225,2723628711936
MITSUBISHI ESTATE CO,8802,8802.T,0.42,Real Estate,Nikkei 225,^N225,Japan,JPX,225,2774174531584
NOMURA HOLDINGS INC.,8604,8604.T,0.42,Financial Services,Nikkei 225,^N225,Japan,JPX,225,2744672059392
ASTELLAS PHARMA,4503,4503.T,0.4,Healthcare,Nikkei 225,^N225,Japan,JPX,225,2627896082432
SUMITOMO REALTY & DEVELOPMENT C,8830,8830.T,0.39,Real Estate,Nikkei 225,^N225,Japan,JPX,225,2581625044992
NIPPON YUSEN KABUSHIKI KAISHA,9101,9101.T,0.35,Industrials,Nikkei 225,^N225,Japan,JPX,225,2285249757184
ENEOS HOLDINGS INC,5020,5020.T,0.34,Energy,Nikkei 225,^N225,Japan,JPX,225,2233292292096
INPEX CORPORATION,1605,1605.T,0.36,Energy,Nikkei 225,^N225,Japan,JPX,225,2377834823680
KYOCERA CORP,6971,6971.T,0.36,Industrials,Nikkei 225,^N225,Japan,JPX,225,2375856685056
SECOM CO,9735,9735.T,0.32,Industrials,Nikkei 225,^N225,Japan,JPX,225,2140115173376
KONAMI GROUP CORPORATION,9766,9766.T,0.35,Communication Services,Nikkei 225,^N225,Japan,JPX,225,2322769117184
OLYMPUS CORPORATION,7733,7733.T,0.34,Healthcare,Nikkei 225,^N225,Japan,JPX,225,2252700647424
SEKISUI HOUSE,1928,1928.T,0.33,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,2147786686464
KUBOTA CORP,6326,6326.T,0.32,Industrials,Nikkei 225,^N225,Japan,JPX,225,2145373913088
SUMITOMO ELECTRIC INDUSTRIES,5802,5802.T,0.31,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,2070533636096
NITTO DENKO CORP,6988,6988.T,0.31,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,2036072710144
SUBARU CORPORATION,7270,7270.T,0.31,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,2054571032576
MITSUI O.S.K. LINES LTD,9104,9104.T,0.29,Industrials,Nikkei 225,^N225,Japan,JPX,225,1928022196224
SHIONOGI & CO,4507,4507.T,0.29,Healthcare,Nikkei 225,^N225,Japan,JPX,225,1889798979584
KANSAI ELECTRIC POWER CO INC,9503,9503.T,0.31,Utilities,Nikkei 225,^N225,Japan,JPX,225,2060435587072
RAKUTEN GROUP INC,4755,4755.T,0.29,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,1935369437184
TOKYO GAS CO,9531,9531.T,0.27,Utilities,Nikkei 225,^N225,Japan,JPX,225,1773260636160
NITORI HOLDINGS CO LTD,9843,9843.T,0.26,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,1698005254144
JAPAN EXCHANGE GROUP,8697,8697.T,0.25,Financial Services,Nikkei 225,^N225,Japan,JPX,225,1671434731520
KIRIN HOLDINGS COMPANY LIMITED,2503,2503.T,0.25,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,1651982729216
TORAY INDUSTRIES INC,3402,3402.T,0.25,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,1637632049152
NEXON CO LTD,3659,3659.T,0.25,Communication Services,Nikkei 225,^N225,Japan,JPX,225,1630602788864
IHI CORPORATION,7013,7013.T,0.25,Industrials,Nikkei 225,^N225,Japan,JPX,225,1630925488128
FUJIKURA,5803,5803.T,0.26,Industrials,Nikkei 225,^N225,Japan,JPX,225,1713890787328
IDEMITSU KOSAN CO.LTD,5019,5019.T,0.22,Energy,Nikkei 225,^N225,Japan,JPX,225,1442077736960
T&D HOLDINGS INC,8795,8795.T,0.24,Financial Services,Nikkei 225,^N225,Japan,JPX,225,1607920123904
KAWASAKI HEAVY INDUSTRIES,7012,7012.T,0.23,Industrials,Nikkei 225,^N225,Japan,JPX,225,1535488294912
NISSAN MOTOR CO,7201,7201.T,0.23,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,1507975102464
KAJIMA CORP,1812,1812.T,0.21,Industrials,Nikkei 225,^N225,Japan,JPX,225,1401404915712
ASAHI KASEI CORP,3407,3407.T,0.21,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,1417562161152
WEST JAPAN RAILWAY CO,9021,9021.T,0.21,Industrials,Nikkei 225,^N225,Japan,JPX,225,1418029694976
OBAYASHI CORP,1802,1802.T,0.22,Industrials,Nikkei 225,^N225,Japan,JPX,225,1426125750272
KIKKOMAN CORP,2801,2801.T,0.21,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,1376101072896
ISUZU MOTORS,7202,7202.T,0.21,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,1390009253888
DAIWA SECURITIES GROUP,8601,8601.T,0.22,Financial Services,Nikkei 225,^N225,Japan,JPX,225,1465095421952
KAWASAKI KISEN KAISHA,9107,9107.T,0.21,Industrials,Nikkei 225,^N225,Japan,JPX,225,1370702217216
OSAKA GAS CO,9532,9532.T,0.2,Utilities,Nikkei 225,^N225,Japan,JPX,225,1344060915712
ANA HOLDINGS INC,9202,9202.T,0.2,Industrials,Nikkei 225,^N225,Japan,JPX,225,1334304440320
ZOZO INC,3092,3092.T,0.2,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,1327681241088
TREND MICRO INC,4704,4704.T,0.2,Technology,Nikkei 225,^N225,Japan,JPX,225,1307718057984
LASERTEC CORP,6920,6920.T,0.2,Technology,Nikkei 225,^N225,Japan,JPX,225,1308662693888
TOPPAN HOLDINGS INC,7911,7911.T,0.19,Industrials,Nikkei 225,^N225,Japan,JPX,225,1246326554624
CHUBU ELECTRIC POWER CO INC,9502,9502.T,0.19,Utilities,Nikkei 225,^N225,Japan,JPX,225,1267650265088
TOHO CO LTD,9602,9602.T,0.18,Communication Services,Nikkei 225,^N225,Japan,JPX,225,1182153572352
TAISEI CORP,1801,1801.T,0.18,Industrials,Nikkei 225,^N225,Japan,JPX,225,1169283088384
EISAI CO LTD,4523,4523.T,0.18,Healthcare,Nikkei 225,^N225,Japan,JPX,225,1204511703040
JFE HOLDINGS INC,5411,5411.T,0.19,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,1241955958784
M3 INC,2413,2413.T,0.18,Healthcare,Nikkei 225,^N225,Japan,JPX,225,1191702953984
DAI NIPPON PRINTING CO,7912,7912.T,0.15,Industrials,Nikkei 225,^N225,Japan,JPX,225,991345180672
KYOWA KIRIN CO LTD,4151,4151.T,0.17,Healthcare,Nikkei 225,^N225,Japan,JPX,225,1139897663488
YAMAHA MOTOR CO,7272,7272.T,0.18,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,1170632867840
JAPAN AIRLINES CO LTD,9201,9201.T,0.17,Industrials,Nikkei 225,^N225,Japan,JPX,225,1127844937728
MITSUBISHI CHEMICAL GROUP CORP,4188,4188.T,0.17,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,1104229957632
CONCORDIA FINANCIAL GROUP LTD,7186,7186.T,0.17,Financial Services,Nikkei 225,^N225,Japan,JPX,225,1107816087552
EBARA CORP,6361,6361.T,0.17,Industrials,Nikkei 225,^N225,Japan,JPX,225,1101205340160
SHISEIDO COMPANY LIMITED,4911,4911.T,0.17,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,1134361313280
SCREEN HOLDINGS CO LTD,7735,7735.T,0.16,Technology,Nikkei 225,^N225,Japan,JPX,225,1060157521920
TOKYU CORP,9005,9005.T,0.15,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,1002500784128
YASKAWA ELECTRIC CORP,6506,6506.T,0.16,Industrials,Nikkei 225,^N225,Japan,JPX,225,1047283564544
CHIBA BANK,8331,8331.T,0.15,Financial Services,Nikkei 225,^N225,Japan,JPX,225,1002017980416
RYOHIN KEIKAKU CO,7453,7453.T,0.16,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,1033542959104
AGC INC,5201,5201.T,0.15,Industrials,Nikkei 225,^N225,Japan,JPX,225,983271669760
FUJI ELECTRIC CO. LTD.,6504,6504.T,0.14,Industrials,Nikkei 225,^N225,Japan,JPX,225,928810467328
RICOH CO,7752,7752.T,0.14,Industrials,Nikkei 225,^N225,Japan,JPX,225,924053405696
MINEBEA MITSUMI INC,6479,6479.T,0.14,Technology,Nikkei 225,^N225,Japan,JPX,225,898147024896
MEIJI HOLDINGS CO LTD,2269,2269.T,0.14,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,893943611392
SHIMIZU CORP,1803,1803.T,0.14,Industrials,Nikkei 225,^N225,Japan,JPX,225,932073242624
OMRON CORP,6645,6645.T,0.13,Technology,Nikkei 225,^N225,Japan,JPX,225,883275464704
SHIZUOKA FINANCIAL GROUP INC.,5831,5831.T,0.13,Financial Services,Nikkei 225,^N225,Japan,JPX,225,870616989696
DENTSU GROUP INC,4324,4324.T,0.13,Communication Services,Nikkei 225,^N225,Japan,JPX,225,869562908672
SUMITOMO METAL MINING CO,5713,5713.T,0.14,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,905919135744
HITACHI CONSTRUCTION MACHINERY,6305,6305.T,0.13,Industrials,Nikkei 225,^N225,Japan,JPX,225,850177884160
SEIKO EPSON CORP,6724,6724.T,0.12,Technology,Nikkei 225,^N225,Japan,JPX,225,789808152576
