Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
Apple Inc.,AAPL,AAPL,11.92,Technology,NASDAQ 100,^NDX,United States,NMS,100,3149833961472
NVIDIA Corporation,NVDA,NVDA,10.67,Technology,NASDAQ 100,^NDX,United States,NMS,100,2820151967744
Microsoft Corporation,MSFT,MSFT,10.66,Technology,NASDAQ 100,^NDX,United States,NMS,100,2815768395776
"Amazon.com, Inc.",AMZN,AMZN,7.78,Consumer Cyclical,NASDAQ 100,^NDX,United States,NMS,100,2054787956736
Alphabet Inc.,GOOGL,GOOGL,7.55,Communication Services,NASDAQ 100,^NDX,United States,NMS,100,1994867867648
Alphabet Inc.,GOOG,GOOG,7.55,Communication Services,NASDAQ 100,^NDX,United States,NMS,100,1994880319488
"Meta Platforms, Inc.",META,META,5.66,Communication Services,NASDAQ 100,^NDX,United States,NMS,100,1496480874496
Broadcom Inc.,AVGO,AVGO,3.41,Technology,NASDAQ 100,^NDX,United States,NMS,100,899765174272
"Tesla, Inc.",TSLA,TSLA,2.93,Consumer Cyclical,NASDAQ 100,^NDX,United States,NMS,100,774151995392
Costco Wholesale Corporation,COST,COST,1.5,Consumer Defensive,NASDAQ 100,^NDX,United States,NMS,100,395152949248
"Netflix, Inc.",NFLX,NFLX,1.44,Communication Services,NASDAQ 100,^NDX,United States,NMS,100,380776448000
"T-Mobile US, Inc.",TMUS,TMUS,1.12,Communication Services,NASDAQ 100,^NDX,United States,NMS,100,295824850944
ASML Holding N.V. - New York Re,ASML,ASML,1.05,Technology,NASDAQ 100,^NDX,Netherlands,NMS,100,276986527744
Astrazeneca PLC,AZN,AZN,0.9,Healthcare,NASDAQ 100,^NDX,United Kingdom,NMS,100,237206257664
"Cisco Systems, Inc.",CSCO,CSCO,0.9,Technology,NASDAQ 100,^NDX,United States,NMS,100,237384548352
Linde plc,LIN,LIN,0.81,Basic Materials,NASDAQ 100,^NDX,United Kingdom,NMS,100,214352101376
"Pepsico, Inc.",PEP,PEP,0.77,Consumer Defensive,NASDAQ 100,^NDX,United States,NMS,100,203448303616
Palantir Technologies Inc.,PLTR,PLTR,0.71,Technology,NASDAQ 100,^NDX,United States,NMS,100,186737557504
"Intuitive Surgical, Inc.",ISRG,ISRG,0.64,Healthcare,NASDAQ 100,^NDX,United States,NMS,100,170046914560
QUALCOMM Incorporated,QCOM,QCOM,0.64,Technology,NASDAQ 100,^NDX,United States,NMS,100,168045641728
Amgen Inc.,AMGN,AMGN,0.64,Healthcare,NASDAQ 100,^NDX,United States,NMS,100,167951777792
PDD Holdings Inc.,PDD,PDD,0.62,Consumer Cyclical,NASDAQ 100,^NDX,Ireland,NMS,100,164930338816
Adobe Inc.,ADBE,ADBE,0.62,Technology,NASDAQ 100,^NDX,United States,NMS,100,164321476608
Intuit Inc.,INTU,INTU,0.62,Technology,NASDAQ 100,^NDX,United States,NMS,100,162514976768
"Advanced Micro Devices, Inc.",AMD,AMD,0.6,Technology,NASDAQ 100,^NDX,United States,NMS,100,158985289728
Texas Instruments Incorporated,TXN,TXN,0.6,Technology,NASDAQ 100,^NDX,United States,NMS,100,157961781248
"Gilead Sciences, Inc.",GILD,GILD,0.53,Healthcare,NASDAQ 100,^NDX,United States,NMS,100,141160415232
Booking Holdings Inc. Common St,BKNG,BKNG,0.53,Consumer Cyclical,NASDAQ 100,^NDX,United States,NMS,100,140954402816
