Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
KPN KON,KPN,KPN.AS,1.54,Communication Services,AEX-Index,^AEX,Netherlands,AMS,22,14696266752
ASR NEDERLAND,ASRNL,ASRNL.AS,1.15,Financial Services,AEX-Index,^AEX,Netherlands,AMS,22,10912935936
RELX,REN,REN.AS,8.61,Industrials,AEX-Index,^AEX,United Kingdom,AMS,22,81949188096
WOLTERS KLUWER,WKL,WKL.AS,3.48,Industrials,AEX-Index,^AEX,Netherlands,AMS,22,33114413056
UNILEVER PLC,UNA,UNA.AS,14.13,Consumer Defensive,AEX-Index,^AEX,United Kingdom,AMS,22,134495215616
JUST EAT TAKEAWAY.COM N.V.,TKWY,TKWY.AS,0.4,Consumer Cyclical,AEX-Index,^AEX,Netherlands,AMS,22,3852067584
IMCD,IMCD,IMCD.AS,0.82,Basic Materials,AEX-Index,^AEX,Netherlands,AMS,22,7779906560
GALAPAGOS,GLPG,GLPG.AS,0.17,Healthcare,AEX-Index,^AEX,Belgium,AMS,22,1613352832
NN GROUP,NN,NN.AS,1.39,Financial Services,AEX-Index,^AEX,Netherlands,AMS,22,13213617152
KONINKLIJKE AHOLD DELHAIZE N.V.,AD,AD.AS,3.28,Consumer Defensive,AEX-Index,^AEX,Netherlands,AMS,22,31244572672
ADYEN,ADYEN,ADYEN.AS,5.08,Technology,AEX-Index,^AEX,Netherlands,AMS,22,48387715072
ING GROEP N.V.,INGA,INGA.AS,5.94,Financial Services,AEX-Index,^AEX,Netherlands,AMS,22,56537063424
AKZO NOBEL,AKZA,AKZA.AS,1.12,Basic Materials,AEX-Index,^AEX,Netherlands,AMS,22,10656600064
AEGON,AGN,AGN.AS,1.0,Financial Services,AEX-Index,^AEX,Netherlands,AMS,22,9499293696
ABN AMRO BANK N.V.,ABN,ABN.AS,1.7,Financial Services,AEX-Index,^AEX,Netherlands,AMS,22,16167136256
KON.PHILIPS N.V.,PHIA,PHIA.AS,2.41,Healthcare,AEX-Index,^AEX,Netherlands,AMS,22,22981263360
HEINEKEN,HEIA,HEIA.AS,4.73,Consumer Defensive,AEX-Index,^AEX,Netherlands,AMS,22,45060591616
ASM International N.V.,ASM,ASM.AS,2.33,Technology,AEX-Index,^AEX,Netherlands,AMS,22,22152656896
ARCELORMITTAL SA,MT,MT.AS,2.34,Basic Materials,AEX-Index,^AEX,Luxembourg,AMS,22,22318606336
ASML HOLDING,ASML,ASML.AS,27.02,Technology,AEX-Index,^AEX,Netherlands,AMS,22,257248280576
PROSUS,PRX,PRX.AS,10.58,Communication Services,AEX-Index,^AEX,Netherlands,AMS,22,100736196608
Randstad N.V.,RAND,RAND.AS,0.79,Industrials,AEX-Index,^AEX,Netherlands,AMS,22,7553020416
