Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
LVMH,MC,MC.PA,11.29,Consumer Cyclical,CAC 40,^FCHI,France,PAR,40,256156811264
HERMES INTL,RMS,RMS.PA,10.09,Consumer Cyclical,CAC 40,^FCHI,France,PAR,40,228923473920
L'OREAL,OR,OR.PA,7.86,Consumer Defensive,CAC 40,^FCHI,France,PAR,40,178402574336
SANOFI,SAN,SAN.PA,5.18,Healthcare,CAC 40,^FCHI,France,PAR,40,117651521536
AIRBUS SE,AIR,AIR.PA,5.07,Industrials,CAC 40,^FCHI,Netherlands,PAR,40,115155345408
TOTALENERGIES,TTE,TTE.PA,5.27,Energy,CAC 40,^FCHI,France,PAR,40,119669694464
ESSILORLUXOTTICA,EL,EL.PA,4.83,Healthcare,CAC 40,^FCHI,France,PAR,40,109599440896
SCHNEIDER ELECTRIC SE,SU,SU.PA,4.85,Industrials,CAC 40,^FCHI,France,PAR,40,110030446592
AIR LIQUIDE,AI,AI.PA,4.17,Basic Materials,CAC 40,^FCHI,France,PAR,40,94747131904
SAFRAN,SAF,SAF.PA,3.89,Industrials,CAC 40,^FCHI,France,PAR,40,88329633792
AXA,CS,CS.PA,3.62,Financial Services,CAC 40,^FCHI,France,PAR,40,82059894784
BNP PARIBAS ACT.A,BNP,BNP.PA,3.5,Financial Services,CAC 40,^FCHI,France,PAR,40,79526223872
VINCI,DG,DG.PA,2.77,Industrials,CAC 40,^FCHI,France,PAR,40,62931210240
THALES,HO,HO.PA,2.19,Industrials,CAC 40,^FCHI,France,PAR,40,49749311488
CREDIT AGRICOLE,ACA,ACA.PA,2.09,Financial Services,CAC 40,^FCHI,France,PAR,40,47416692736
DANONE,BN,BN.PA,2.02,Consumer Defensive,CAC 40,^FCHI,France,PAR,40,45840535552
DASSAULT SYSTEMES,DSY,DSY.PA,1.83,Technology,CAC 40,^FCHI,France,PAR,40,41433362432
ENGIE,ENGI,ENGI.PA,1.93,Utilities,CAC 40,^FCHI,France,PAR,40,43748818944
SAINT GOBAIN,SGO,SGO.PA,1.83,Industrials,CAC 40,^FCHI,France,PAR,40,41555292160
STELLANTIS NV,STLAP,STLAP.PA,1.12,Consumer Cyclical,CAC 40,^FCHI,Netherlands,PAR,40,25423198208
ORANGE,ORA,ORA.PA,1.42,Communication Services,CAC 40,^FCHI,France,PAR,40,32241594368
SOCIETE GENERALE,GLE,GLE.PA,1.27,Financial Services,CAC 40,^FCHI,France,PAR,40,28832788480
LEGRAND,LR,LR.PA,1.03,Industrials,CAC 40,^FCHI,France,PAR,40,23320008704
VEOLIA ENVIRON.,VIE,VIE.PA,0.98,Industrials,CAC 40,^FCHI,France,PAR,40,22333571072
PERNOD RICARD,RI,RI.PA,0.96,Consumer Defensive,CAC 40,^FCHI,France,PAR,40,21779400704
MICHELIN,ML,ML.PA,0.94,Non disponible,CAC 40,^FCHI,Non disponible,PAR,40,21384794112
CAPGEMINI,CAP,CAP.PA,0.95,Technology,CAC 40,^FCHI,France,PAR,40,21671895040
KERING,KER,KER.PA,0.88,Consumer Cyclical,CAC 40,^FCHI,France,PAR,40,19913822208
PUBLICIS GROUPE SA,PUB,PUB.PA,0.87,Communication Services,CAC 40,^FCHI,France,PAR,40,19843368960
STMICROELECTRONICS,STMPA,STMPA.PA,0.7,Technology,CAC 40,^FCHI,Netherlands,PAR,40,15815332864
BOUYGUES,EN,EN.PA,0.6,Industrials,CAC 40,^FCHI,France,PAR,40,13572424704
RENAULT,RNO,RNO.PA,0.55,Consumer Cyclical,CAC 40,^FCHI,France,PAR,40,12475825152
BUREAU VERITAS,BVI,BVI.PA,0.5,Industrials,CAC 40,^FCHI,France,PAR,40,11446091776
UNIBAIL-RODAMCO-WESTFIELD,URW,URW.PA,0.45,Real Estate,CAC 40,^FCHI,France,PAR,40,10182833152
EUROFINS SCIENT.,ERF,ERF.PA,0.39,Healthcare,CAC 40,^FCHI,Luxembourg,PAR,40,8798918656
ACCOR,AC,AC.PA,0.41,Consumer Cyclical,CAC 40,^FCHI,France,PAR,40,9291400192
CARREFOUR,CA,CA.PA,0.37,Consumer Defensive,CAC 40,^FCHI,France,PAR,40,8449150976
EDENRED,EDEN,EDEN.PA,0.31,Financial Services,CAC 40,^FCHI,France,PAR,40,6976525824
TELEPERFORMANCE,TEP,TEP.PA,0.21,Industrials,CAC 40,^FCHI,France,PAR,40,4867964928
ARCELORMITTAL SA,MT,MT.AS,0.8,Basic Materials,CAC 40,^FCHI,Luxembourg,AMS,40,18166542336
