Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
FERRARI,RACE,RACE.MI,9.32,Consumer Cyclical,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,65795895296
ENEL,ENEL,ENEL.MI,10.62,Utilities,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,74963755008
INTESA SANPAOLO,ISP,ISP.MI,10.44,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,73677660160
UNICREDIT,UCG,UCG.MI,10.03,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,70791069696
GENERALI,G,G.MI,6.61,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,46616039424
ENI,ENI,ENI.MI,5.58,Energy,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,39376244736
STELLANTIS,STLAM,STLAM.MI,3.64,Consumer Cyclical,FTSE MIB Index,FTSEMIB.MI,Netherlands,MIL,40,25682847744
LEONARDO,LDO,LDO.MI,3.4,Industrials,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,23980873728
POSTE ITALIANE,PST,PST.MI,2.88,Industrials,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,20336791552
TENARIS,TEN,TEN.MI,2.34,Energy,FTSE MIB Index,FTSEMIB.MI,Luxembourg,MIL,40,16542060544
TERNA,TRN,TRN.MI,2.4,Utilities,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,16947144704
SNAM,SRG,SRG.MI,2.27,Utilities,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,16040328192
STMICROELECTRONICS,STMMI,STMMI.MI,2.19,Technology,FTSE MIB Index,FTSEMIB.MI,Netherlands,MIL,40,15481384960
MONCLER,MONC,MONC.MI,1.96,Consumer Cyclical,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,13857073152
PRYSMIAN,PRY,PRY.MI,1.81,Industrials,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,12755025920
BANCO BPM,BAMI,BAMI.MI,1.79,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,12622711808
MEDIOBANCA,MB,MB.MI,1.81,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,12742661120
RECORDATI ORD,REC,REC.MI,1.43,Healthcare,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,10078665728
FINECOBANK,FBK,FBK.MI,1.4,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,9899834368
BANCA MEDIOLANUM,BMED,BMED.MI,1.38,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,9753530368
UNIPOL,UNI,UNI.MI,1.4,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,9853650944
INWIT,INW,INW.MI,1.25,Real Estate,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,8831716352
BPER BANCA,BPE,BPE.MI,1.27,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,8972863488
BANCA MONTE PASCHI SIENA,BMPS,BMPS.MI,1.18,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,8301116416
BUZZI,BZU,BZU.MI,1.07,Basic Materials,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,7562905088
A2A,A2A,A2A.MI,0.96,Utilities,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,6760112128
TELECOM ITALIA,TIT,TIT.MI,0.94,Communication Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,6657700864
CAMPARI,CPR,CPR.MI,0.9,Consumer Defensive,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,6323032576
BRUNELLO CUCINELLI,BC,BC.MI,0.87,Consumer Cyclical,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,6166484480
HERA,HER,HER.MI,0.8,Utilities,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,5664600064
ITALGAS,IG,IG.MI,0.76,Utilities,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,5372848640
NEXI,NEXI,NEXI.MI,0.8,Technology,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,5624761344
PIRELLI & C,PIRC,PIRC.MI,0.72,Consumer Cyclical,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,5057398784
DIASORIN,DIA,DIA.MI,0.68,Healthcare,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,4811941376
IVECO GROUP,IVG,IVG.MI,0.5,Industrials,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,3495532288
BCA POP SONDRIO,BPSO,BPSO.MI,0.62,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,4354292224
AMPLIFON,AMP,AMP.MI,0.57,Healthcare,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,4035658496
SAIPEM,SPM,SPM.MI,0.5,Energy,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,3531839744
INTERPUMP GROUP,IP,IP.MI,0.44,Industrials,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,3111640832
AZIMUT,AZM,AZM.MI,0.46,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,3272460800
