Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
INDUSTRIA DE DISE...O TEXTIL S.,ITX,ITX.MC,18.32,Consumer Cyclical,IBEX 35,^IBEX,Spain,MCE,35,132180951040.0
ACCIONES IBERDROLA,IBE,IBE.MC,12.57,Utilities,IBEX 35,^IBEX,Spain,MCE,35,90702520320.0
BANCO SANTANDER S.A.,SAN,SAN.MC,10.62,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,76654493696.0
BANCO BILBAO VIZCAYA ARGENTARIA,BBVA,BBVA.MC,8.45,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,60991389696.0
"CAIXABANK, S.A.",CABK,CABK.MC,5.72,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,41292705792.0
"AENA, S.M.E., S.A.",AENA,AENA.MC,4.28,Industrials,IBEX 35,^IBEX,Spain,MCE,35,30900000768.0
"AMADEUS IT GROUP, S.A.",AMS,AMS.MC,3.77,Technology,IBEX 35,^IBEX,Spain,MCE,35,27211911168.0
FERROVIAL SE,FER,FER.MC,4.01,Industrials,IBEX 35,^IBEX,Netherlands,MCE,35,28939122688.0
"ENDESA,S.A.",ELE,ELE.MC,3.38,Utilities,IBEX 35,^IBEX,Spain,MCE,35,24378406912.0
"TELEFONICA,S.A.",TEF,TEF.MC,3.2,Communication Services,IBEX 35,^IBEX,Spain,MCE,35,23064125440.0
"NATURGY ENERGY GROUP, S.A.",NTGY,NTGY.MC,3.17,Utilities,IBEX 35,^IBEX,Spain,MCE,35,22903898112.0
"CELLNEX TELECOM, S.A.",CLNX,CLNX.MC,3.09,Real Estate,IBEX 35,^IBEX,Spain,MCE,35,22314487808.0
ARCELORMITTAL SA,MTS,MTS.MC,2.51,Basic Materials,IBEX 35,^IBEX,Luxembourg,MCE,35,18090987520.0
INTL CONSOLIDATED AIRLINES GROU,IAG,IAG.MC,1.81,Industrials,IBEX 35,^IBEX,United Kingdom,MCE,35,13087346688.0
"ACS,ACTIVIDADES DE CONSTRUCCION",ACS,ACS.MC,1.59,Industrials,IBEX 35,^IBEX,Spain,MCE,35,11477111808.0
"REPSOL,  S.A.",REP,REP.MC,1.62,Energy,IBEX 35,^IBEX,Spain,MCE,35,11707304960.0
BANCO DE SABADELL,SAB,SAB.MC,1.56,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,11233334272.0
"REDEIA CORPORACION, S.A.",RED,RED.MC,1.36,Utilities,IBEX 35,^IBEX,Spain,MCE,35,9797596160.0
Non disponible,PUIG.MC,PUIG.MC,,Non disponible,IBEX 35,^IBEX,Non disponible,Non disponible,35,
"MAPFRE, S.A.",MAP,MAP.MC,1.1,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,7913762816.0
"BANKINTER, S.A.",BKT,BKT.MC,1.04,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,7487776256.0
"ACCIONA, S.A.",ANA,ANA.MC,0.81,Industrials,IBEX 35,^IBEX,Spain,MCE,35,5857840640.0
CORPORACI...N ACCIONA ENERG...A,ANE,ANE.MC,0.68,Utilities,IBEX 35,^IBEX,Spain,MCE,35,4920430080.0
"MERLIN PROPERTIES SOCIMI, S.A.",MRL,MRL.MC,0.67,Real Estate,IBEX 35,^IBEX,Spain,MCE,35,4847973888.0
GRIFOLS S.A.,GRF,GRF.MC,0.66,Healthcare,IBEX 35,^IBEX,Spain,MCE,35,4736209408.0
"INDRA SISTEMAS S.A., SERIE A",IDR,IDR.MC,0.58,Technology,IBEX 35,^IBEX,Spain,MCE,35,4195047168.0
"UNICAJA BANCO, S.A.",UNI,UNI.MC,0.5,Financial Services,IBEX 35,^IBEX,Spain,MCE,35,3640528128.0
COMPA...IA DE DISTRIBUCION INTE,LOG,LOG.MC,0.49,Industrials,IBEX 35,^IBEX,Spain,MCE,35,3547975424.0
"FLUIDRA, S.A.",FDR,FDR.MC,0.49,Industrials,IBEX 35,^IBEX,Spain,MCE,35,3538412288.0
"ENAGAS,S.A.",ENG,ENG.MC,0.46,Utilities,IBEX 35,^IBEX,Spain,MCE,35,3317994752.0
"INMOBILIARIA COLONIAL, SOCIMI S",COL,COL.MC,0.44,Real Estate,IBEX 35,^IBEX,Spain,MCE,35,3160911360.0
LABORATORIOS FARMACEUTICOS ROVI,ROVI,ROVI.MC,0.34,Healthcare,IBEX 35,^IBEX,Spain,MCE,35,2424296704.0
"SACYR, S.A.",SCYR,SCYR.MC,0.3,Industrials,IBEX 35,^IBEX,Spain,MCE,35,2172626944.0
"ACERINOX, S.A.",ACX,ACX.MC,0.3,Basic Materials,IBEX 35,^IBEX,Spain,MCE,35,2162061568.0
SOLARIA ENERGIA Y MEDIO AMBIENT,SLR,SLR.MC,0.11,Utilities,IBEX 35,^IBEX,Spain,MCE,35,785691904.0
