Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
LVMH,MC,MC.PA,5.67,Consumer Cyclical,STOXX 50,^STOXX50E,France,PAR,50,255543508992
SAP SE                        I,SAP,SAP.DE,5.69,Technology,STOXX 50,^STOXX50E,Germany,GER,50,256416481280
HERMES INTL,RMS,RMS.PA,5.11,Consumer Cyclical,STOXX 50,^STOXX50E,France,PAR,50,230433816576
ASML HOLDING,ASML,ASML.AS,4.72,Technology,STOXX 50,^STOXX50E,Netherlands,AMS,50,212781367296
L'OREAL,OR,OR.PA,3.94,Consumer Defensive,STOXX 50,^STOXX50E,France,PAR,50,177571561472
INDUSTRIA DE DISE...O TEXTIL S.,ITX,ITX.MC,2.93,Consumer Cyclical,STOXX 50,^STOXX50E,Spain,MCE,50,132087562240
SIEMENS AG                    N,SIE,SIE.DE,2.99,Industrials,STOXX 50,^STOXX50E,Germany,GER,50,134697664512
DEUTSCHE TELEKOM AG           N,DTE,DTE.DE,3.41,Communication Services,STOXX 50,^STOXX50E,Germany,GER,50,153530466304
SCHNEIDER ELECTRIC SE,SU,SU.PA,2.42,Industrials,STOXX 50,^STOXX50E,France,PAR,50,109165387776
AIRBUS SE,AIR,AIR.PA,2.54,Industrials,STOXX 50,^STOXX50E,Netherlands,PAR,50,114460303360
SANOFI,SAN,SAN.PA,2.61,Healthcare,STOXX 50,^STOXX50E,France,PAR,50,117816418304
TOTALENERGIES,TTE,TTE.PA,2.64,Energy,STOXX 50,^STOXX50E,France,PAR,50,118864478208
Allianz SE                    v,ALV,ALV.DE,2.68,Financial Services,STOXX 50,^STOXX50E,Germany,GER,50,120947015680
ESSILORLUXOTTICA,EL,EL.PA,2.41,Healthcare,STOXX 50,^STOXX50E,France,PAR,50,108761030656
SAFRAN,SAF,SAF.PA,1.93,Industrials,STOXX 50,^STOXX50E,France,PAR,50,87175864320
AIR LIQUIDE,AI,AI.PA,2.09,Basic Materials,STOXX 50,^STOXX50E,France,PAR,50,94224891904
AB INBEV,ABI,ABI.BR,2.35,Consumer Defensive,STOXX 50,^STOXX50E,Belgium,BRU,50,106128941056
PROSUS,PRX,PRX.AS,2.01,Communication Services,STOXX 50,^STOXX50E,Netherlands,AMS,50,90440957952
ACCIONES IBERDROLA,IBE,IBE.MC,2.02,Utilities,STOXX 50,^STOXX50E,Spain,MCE,50,90983915520
AXA,CS,CS.PA,1.81,Financial Services,STOXX 50,^STOXX50E,France,PAR,50,81484767232
BANCO SANTANDER S.A.,SAN,SAN.MC,1.7,Financial Services,STOXX 50,^STOXX50E,Spain,MCE,50,76819759104
INTESA SANPAOLO,ISP,ISP.MI,1.62,Financial Services,STOXX 50,^STOXX50E,Italy,MIL,50,73044746240
FERRARI,RACE,RACE.MI,1.45,Consumer Cyclical,STOXX 50,^STOXX50E,Italy,MIL,50,65561358336
BNP PARIBAS ACT.A,BNP,BNP.PA,1.73,Financial Services,STOXX 50,^STOXX50E,France,PAR,50,77962371072
MUENCHENER RUECKVERS.-GES. AG V,MUV2,MUV2.DE,1.53,Financial Services,STOXX 50,^STOXX50E,Germany,GER,50,69066989568
UNICREDIT,UCG,UCG.MI,1.56,Financial Services,STOXX 50,^STOXX50E,Italy,MIL,50,70472384512
ENEL,ENEL,ENEL.MI,1.67,Utilities,STOXX 50,^STOXX50E,Italy,MIL,50,75230068736
BANCO BILBAO VIZCAYA ARGENTARIA,BBVA,BBVA.MC,1.35,Financial Services,STOXX 50,^STOXX50E,Spain,MCE,50,60905037824
VINCI,DG,DG.PA,1.39,Industrials,STOXX 50,^STOXX50E,France,PAR,50,62725554176
Mercedes-Benz Group AG        N,MBG,MBG.DE,1.01,Consumer Cyclical,STOXX 50,^STOXX50E,Germany,GER,50,45352775680
ING GROEP N.V.,INGA,INGA.AS,1.08,Financial Services,STOXX 50,^STOXX50E,Netherlands,AMS,50,48844713984
VOLKSWAGEN AG                 V,VOW3,VOW3.DE,0.94,Consumer Cyclical,STOXX 50,^STOXX50E,Germany,GER,50,42581536768
BAYERISCHE MOTOREN WERKE AG   S,BMW,BMW.DE,0.9,Consumer Cyclical,STOXX 50,^STOXX50E,Germany,GER,50,40411033600
ADYEN,ADYEN,ADYEN.AS,0.86,Technology,STOXX 50,^STOXX50E,Netherlands,AMS,50,38984101888
adidas AG                     N,ADS,ADS.DE,0.72,Consumer Cyclical,STOXX 50,^STOXX50E,Germany,GER,50,32451278848
SAINT GOBAIN,SGO,SGO.PA,0.91,Industrials,STOXX 50,^STOXX50E,France,PAR,50,41178296320
DEUTSCHE BOERSE AG            N,DB1,DB1.DE,1.01,Financial Services,STOXX 50,^STOXX50E,Germany,GER,50,45705588736
DANONE,BN,BN.PA,1.02,Consumer Defensive,STOXX 50,^STOXX50E,France,PAR,50,45879541760
INFINEON TECHNOLOGIES AG      N,IFX,IFX.DE,0.7,Technology,STOXX 50,^STOXX50E,Germany,GER,50,31361722368
BASF SE                       N,BAS,BAS.DE,0.78,Basic Materials,STOXX 50,^STOXX50E,Germany,GER,50,34977935360
ENI,ENI,ENI.MI,0.87,Energy,STOXX 50,^STOXX50E,Italy,MIL,50,39414648832
WOLTERS KLUWER,WKL,WKL.AS,0.72,Industrials,STOXX 50,^STOXX50E,Netherlands,AMS,50,32258394112
DEUTSCHE POST AG              N,DHL,DHL.DE,0.84,Industrials,STOXX 50,^STOXX50E,Germany,GER,50,37848678400
Nordea Bank Abp,NDA-SE,NDA-SE.ST,8.58,Financial Services,STOXX 50,^STOXX50E,Finland,STO,50,386869985280
STELLANTIS NV,STLAP,STLAP.PA,0.57,Consumer Cyclical,STOXX 50,^STOXX50E,Netherlands,PAR,50,25506152448
KONINKLIJKE AHOLD DELHAIZE N.V.,AD,AD.AS,0.69,Consumer Defensive,STOXX 50,^STOXX50E,Netherlands,AMS,50,30935269376
KERING,KER,KER.PA,0.44,Consumer Cyclical,STOXX 50,^STOXX50E,France,PAR,50,19809335296
PERNOD RICARD,RI,RI.PA,0.48,Consumer Defensive,STOXX 50,^STOXX50E,France,PAR,50,21712873472
Nokia Corporation,NOKIA,NOKIA.HE,0.5,Technology,STOXX 50,^STOXX50E,Finland,HEL,50,22607656960
