Date,Close,Rendement du mois,Rendement LP,Rendement DCA x mois,Durée,Mois DCA
,^GSPC,,,,,
2000-05-01,1420.6,-0.0219,9780.8495,1630.1416,25 ans,6 mois
2000-06-01,1454.6,0.0239,10014.9399,3336.6975,25 ans,6 mois
2000-07-01,1430.83,-0.0163,9851.283,4976.1287,25 ans,6 mois
2000-08-01,1517.6801,0.0607,10449.2471,6743.9605,25 ans,6 mois
2000-09-01,1436.51,-0.0535,9890.3903,8321.4889,25 ans,6 mois
2000-10-01,1429.4,-0.0049,9841.4379,9979.9064,25 ans,6 mois
2000-11-01,1314.95,-0.0801,9053.4477,9180.8292,25 ans,6 mois
2000-12-01,1320.28,0.0041,9090.1453,9218.0432,25 ans,6 mois
2001-01-01,1366.01,0.0346,9404.9969,9537.3247,25 ans,6 mois
2001-02-01,1239.9399,-0.0923,8537.0028,8657.118,25 ans,6 mois
2001-03-01,1160.33,-0.0642,7988.887,8101.2902,25 ans,6 mois
2001-04-01,1249.46,0.0768,8602.5482,8723.5856,25 ans,6 mois
2001-05-01,1255.8199,0.0051,8646.3368,8767.9903,25 ans,6 mois
2001-06-01,1224.38,-0.025,8429.8724,8548.4803,25 ans,6 mois
2001-07-01,1211.23,-0.0107,8339.3343,8456.6683,25 ans,6 mois
2001-08-01,1133.58,-0.0641,7804.7129,7914.5248,25 ans,6 mois
2001-09-01,1040.9399,-0.0817,7166.8852,7267.7229,25 ans,6 mois
2001-10-01,1059.78,0.0181,7296.5994,7399.2622,25 ans,6 mois
2001-11-01,1139.45,0.0752,7845.1279,7955.5084,25 ans,6 mois
2001-12-01,1148.08,0.0076,7904.5456,8015.7621,25 ans,6 mois
2002-01-01,1130.2,-0.0156,7781.4415,7890.926,25 ans,6 mois
2002-02-01,1106.73,-0.0208,7619.8505,7727.0613,25 ans,6 mois
2002-03-01,1147.39,0.0367,7899.7953,8010.945,25 ans,6 mois
2002-04-01,1076.92,-0.0614,7414.6086,7518.9318,25 ans,6 mois
