Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
ASTRAZENECA PLC ORD SHS $0.25,AZN,AZN.L,8.03,Healthcare,FTSE 100,^FTSE,United Kingdom,LSE,100,169210822656
SHELL PLC ORD EUR0.07,SHEL,SHEL.L,7.0,Energy,FTSE 100,^FTSE,United Kingdom,LSE,100,147492651008
HSBC HOLDINGS PLC ORD $0.50 (UK,HSBA,HSBA.L,6.56,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,138247929856
UNILEVER PLC ORD 3 1/9P,ULVR,ULVR.L,5.33,Consumer Defensive,FTSE 100,^FTSE,United Kingdom,LSE,100,112341835776
RIO TINTO PLC ORD 10P,RIO,RIO.L,3.36,Basic Materials,FTSE 100,^FTSE,United Kingdom,LSE,100,70814851072
RELX PLC ORD 14 51/116P,REL,REL.L,3.26,Industrials,FTSE 100,^FTSE,United Kingdom,LSE,100,68668715008
BRITISH AMERICAN TOBACCO PLC OR,BATS,BATS.L,3.18,Consumer Defensive,FTSE 100,^FTSE,United Kingdom,LSE,100,67056328704
LONDON STOCK EXCHANGE GROUP PLC,LSEG,LSEG.L,2.83,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,59571400704
BP PLC $0.25,BP,BP.L,2.81,Energy,FTSE 100,^FTSE,United Kingdom,LSE,100,59144155136
GSK PLC ORD 31 1/4P,GSK,GSK.L,2.72,Healthcare,FTSE 100,^FTSE,United Kingdom,LSE,100,57242046464
ROLLS-ROYCE HOLDINGS PLC ORD SH,RR,RR.L,2.76,Industrials,FTSE 100,^FTSE,United Kingdom,LSE,100,58194673664
NATIONAL GRID PLC ORD 12 204/47,NG,NG.L,2.37,Utilities,FTSE 100,^FTSE,United Kingdom,LSE,100,49861124096
DIAGEO PLC ORD 28 101/108P,DGE,DGE.L,2.06,Consumer Defensive,FTSE 100,^FTSE,United Kingdom,LSE,100,43526324224
BAE SYSTEMS PLC ORD 2.5P,BA,BA.L,2.15,Industrials,FTSE 100,^FTSE,United Kingdom,LSE,100,45375139840
COMPASS GROUP PLC ORD 11 1/20P,CPG,CPG.L,2.04,Consumer Cyclical,FTSE 100,^FTSE,United Kingdom,LSE,100,42991214592
LLOYDS BANKING GROUP PLC ORD 10,LLOY,LLOY.L,1.95,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,41044598784
BARCLAYS PLC ORD 25P,BARC,BARC.L,1.71,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,36140687360
RECKITT BENCKISER GROUP PLC ORD,RKT,RKT.L,1.64,Consumer Defensive,FTSE 100,^FTSE,United Kingdom,LSE,100,34623909888
HALEON PLC ORD GBP0.01,HLN,HLN.L,1.6,Healthcare,FTSE 100,^FTSE,United Kingdom,LSE,100,33808242688
3I GROUP PLC ORD 73 19/22P,III,III.L,1.64,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,34510880768
NATWEST GROUP PLC ORD 107.69P,NWG,NWG.L,1.66,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,35064049664
COCA-COLA EUROPACIFIC PARTNERS ,CCEP,CCEP.L,1.45,Consumer Defensive,FTSE 100,^FTSE,United Kingdom,LSE,100,30599274496
EXPERIAN PLC ORD USD0.10,EXPN,EXPN.L,1.44,Industrials,FTSE 100,^FTSE,Ireland,LSE,100,30411483136
GLENCORE PLC ORD USD0.01,GLEN,GLEN.L,1.42,Basic Materials,FTSE 100,^FTSE,Switzerland,LSE,100,29929224192
ANGLO AMERICAN PLC ORD USD0.549,AAL,AAL.L,1.1,Basic Materials,FTSE 100,^FTSE,United Kingdom,LSE,100,23178463232
IMPERIAL BRANDS PLC ORD 10P,IMB,IMB.L,1.1,Consumer Defensive,FTSE 100,^FTSE,United Kingdom,LSE,100,23140505600
TESCO PLC ORD 6 1/3P,TSCO,TSCO.L,1.06,Consumer Defensive,FTSE 100,^FTSE,United Kingdom,LSE,100,22293303296
STANDARD CHARTERED PLC ORD USD0,STAN,STAN.L,1.08,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,22688210944
PRUDENTIAL PLC ORD 5P,PRU,PRU.L,0.93,Financial Services,FTSE 100,^FTSE,Hong Kong,LSE,100,19590674432
SSE PLC ORD 50P,SSE,SSE.L,0.83,Utilities,FTSE 100,^FTSE,United Kingdom,LSE,100,17496180736
VODAFONE GROUP PLC ORD USD0.20 ,VOD,VOD.L,0.81,Communication Services,FTSE 100,^FTSE,United Kingdom,LSE,100,17114529792
ASHTEAD GROUP PLC ORD 10P,AHT,AHT.L,0.76,Industrials,FTSE 100,^FTSE,United Kingdom,LSE,100,15939622912
BT GROUP PLC ORD 5P,BT-A,BT-A.L,0.77,Communication Services,FTSE 100,^FTSE,United Kingdom,LSE,100,16293134336
ASSOCIATED BRITISH FOODS PLC OR,ABF,ABF.L,0.65,Consumer Defensive,FTSE 100,^FTSE,United Kingdom,LSE,100,13737604096
AVIVA PLC ORD 32 17/19P,AV,AV.L,0.66,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,13937315840
ANTOFAGASTA PLC ORD 5P,ANTO,ANTO.L,0.69,Basic Materials,FTSE 100,^FTSE,United Kingdom,LSE,100,14442132480
NEXT PLC ORD 10P,NXT,NXT.L,0.61,Consumer Cyclical,FTSE 100,^FTSE,United Kingdom,LSE,100,12877168640
LEGAL & GENERAL GROUP PLC ORD 2,LGEN,LGEN.L,0.63,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,13373219840
COCA-COLA HBC AG ORD CHF6.70 (C,CCH,CCH.L,0.6,Consumer Defensive,FTSE 100,^FTSE,Switzerland,LSE,100,12667004928
INTERCONTINENTAL HOTELS GROUP P,IHG,IHG.L,0.56,Consumer Cyclical,FTSE 100,^FTSE,United Kingdom,LSE,100,11854466048
SAGE GROUP PLC ORD 1 4/77P,SGE,SGE.L,0.54,Technology,FTSE 100,^FTSE,United Kingdom,LSE,100,11284983808
