Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
AB INBEV,ABI,ABI.BR,38.18,Consumer Defensive,BEL 20,^BFX,Belgium,BRU,20,106209157120
ARGENX SE,ARGX,ARGX.BR,11.11,Healthcare,BEL 20,^BFX,Netherlands,BRU,20,30915399680
KBC,KBC,KBC.BR,11.08,Financial Services,BEL 20,^BFX,Belgium,BRU,20,30810828800
UCB,UCB,UCB.BR,10.5,Healthcare,BEL 20,^BFX,Belgium,BRU,20,29198747648
AGEAS,AGS,AGS.BR,3.4,Financial Services,BEL 20,^BFX,Belgium,BRU,20,9459510272
GBL,GBLB,GBLB.BR,2.95,Financial Services,BEL 20,^BFX,Belgium,BRU,20,8193976320
D'IETEREN GROUP,DIE,DIE.BR,2.86,Consumer Cyclical,BEL 20,^BFX,Belgium,BRU,20,7954927104
ELIA GROUP,ELI,ELI.BR,2.82,Utilities,BEL 20,^BFX,Belgium,BRU,20,7837194752
SOFINA,SOF,SOF.BR,2.69,Financial Services,BEL 20,^BFX,Belgium,BRU,20,7470243840
LOTUS BAKERIES,LOTB,LOTB.BR,2.28,Consumer Defensive,BEL 20,^BFX,Belgium,BRU,20,6348352512
ACKERMANS V.HAAREN,ACKB,ACKB.BR,2.2,Industrials,BEL 20,^BFX,Belgium,BRU,20,6117986816
SYENSQO,SYENS,SYENS.BR,2.08,Basic Materials,BEL 20,^BFX,Belgium,BRU,20,5773809152
WAREHOUSES DE PAUW,WDP,WDP.BR,1.66,Real Estate,BEL 20,^BFX,Belgium,BRU,20,4619295232
AZELIS GROUP NV,AZE,AZE.BR,1.32,Basic Materials,BEL 20,^BFX,Belgium,BRU,20,3667680000
SOLVAY,SOLB,SOLB.BR,1.14,Basic Materials,BEL 20,^BFX,Belgium,BRU,20,3159694848
AEDIFICA,AED,AED.BR,1.04,Real Estate,BEL 20,^BFX,Belgium,BRU,20,2894571008
COFINIMMO,COFB,COFB.BR,0.82,Real Estate,BEL 20,^BFX,Belgium,BRU,20,2288774912
UMICORE,UMI,UMI.BR,0.69,Industrials,BEL 20,^BFX,Belgium,BRU,20,1905851008
MELEXIS,MELE,MELE.BR,0.67,Technology,BEL 20,^BFX,Belgium,BRU,20,1862699008
MONTEA NV,MONT,MONT.BR,0.53,Real Estate,BEL 20,^BFX,Belgium,BRU,20,1461002112
