Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
Novo Nordisk B A/S,NOVO-B,NOVO-B.CO,46.56,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,1853525327872
DSV A/S,DSV,DSV.CO,6.52,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,259379265536
Nordea Bank Abp,NDA-DK,NDA-DK.CO,6.69,Financial Services,OMX Copenhagen 25,^OMXC25,Finland,CPH,25,266230562816
Novonesis (Novozymes A/S) B,NSIS-B,NSIS-B.CO,4.56,Basic Materials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,181549187072
Danske Bank A/S,DANSKE,DANSKE.CO,3.92,Financial Services,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,156204646400
Coloplast B A/S,COLO-B,COLO-B.CO,3.78,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,150274719744
A.P. Møller - Mærsk A A/S,MAERSK-A,MAERSK-A.CO,3.58,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,142683979776
A.P. Møller - Mærsk B A/S,MAERSK-B,MAERSK-B.CO,3.59,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,142933671936
ORSTED A/S,ORSTED,ORSTED.CO,2.83,Utilities,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,112580952064
Carlsberg B A/S,CARL-B,CARL-B.CO,2.77,Consumer Defensive,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,110080786432
Tryg A/S,TRYG,TRYG.CO,2.21,Financial Services,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,87973134336
Vestas Wind Systems A/S,VWS,VWS.CO,2.08,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,82840576000
Genmab A/S,GMAB,GMAB.CO,1.9,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,75761999872
Pandora A/S,PNDORA,PNDORA.CO,1.64,Consumer Cyclical,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,65363472384
Rockwool A/S ser. B,ROCK-B,ROCK-B.CO,1.26,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,50120544256
Demant A/S,DEMANT,DEMANT.CO,1.11,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,44179103744
Jyske Bank A/S,JYSK,JYSK.CO,0.72,Financial Services,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,28739385344
Zealand Pharma A/S,ZEAL,ZEAL.CO,0.69,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,27642087424
Ambu A/S,AMBU-B,AMBU-B.CO,0.71,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,28317257728
ISS A/S,ISS,ISS.CO,0.63,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,25175506944
Royal UNIBREW A/S,RBREW,RBREW.CO,0.67,Consumer Defensive,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,26490830848
NKT A/S,NKT,NKT.CO,0.56,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,22111793152
Sydbank A/S,SYDB,SYDB.CO,0.45,Financial Services,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,17869715456
GN Store Nord A/S,GN,GN.CO,0.31,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,12228579328
Bavarian Nordic A/S,BAVA,BAVA.CO,0.26,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,10368223232
