Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
SAP SE                        I,SAP,SAP.DE,14.4,Technology,DAX,^GDAXI,Germany,GER,40,256183156736
DEUTSCHE TELEKOM AG           N,DTE,DTE.DE,8.6,Communication Services,DAX,^GDAXI,Germany,GER,40,153040420864
SIEMENS AG                    N,SIE,SIE.DE,7.58,Industrials,DAX,^GDAXI,Germany,GER,40,134807314432
Allianz SE                    v,ALV,ALV.DE,6.77,Financial Services,DAX,^GDAXI,Germany,GER,40,120522498048
Airbus SE                     A,AIR,AIR.DE,6.42,Industrials,DAX,^GDAXI,Netherlands,GER,40,114276589568
MUENCHENER RUECKVERS.-GES. AG V,MUV2,MUV2.DE,3.88,Financial Services,DAX,^GDAXI,Germany,GER,40,69066989568
RHEINMETALL AG                I,RHM,RHM.DE,2.79,Industrials,DAX,^GDAXI,Germany,GER,40,49561960448
MERCK KGAA                    I,MRK,MRK.DE,2.75,Healthcare,DAX,^GDAXI,Germany,GER,40,48912523264
Siemens Healthineers AG       N,SHL,SHL.DE,2.67,Healthcare,DAX,^GDAXI,Germany,GER,40,47423467520
DEUTSCHE BOERSE AG            N,DB1,DB1.DE,2.57,Financial Services,DAX,^GDAXI,Germany,GER,40,45650452480
Mercedes-Benz Group AG        N,MBG,MBG.DE,2.55,Consumer Cyclical,DAX,^GDAXI,Germany,GER,40,45415366656
VOLKSWAGEN AG                 V,VOW3,VOW3.DE,2.4,Consumer Cyclical,DAX,^GDAXI,Germany,GER,40,42693865472
BAYERISCHE MOTOREN WERKE AG   S,BMW,BMW.DE,2.28,Consumer Cyclical,DAX,^GDAXI,Germany,GER,40,40497676288
DEUTSCHE POST AG              N,DHL,DHL.DE,2.12,Industrials,DAX,^GDAXI,Germany,GER,40,37802549248
Dr. Ing. h.c. F. Porsche AG   I,P911,P911.DE,2.12,Consumer Cyclical,DAX,^GDAXI,Germany,GER,40,37733617664
Siemens Energy AG             N,ENR,ENR.DE,2.05,Industrials,DAX,^GDAXI,Germany,GER,40,36546519040
BASF SE                       N,BAS,BAS.DE,1.98,Basic Materials,DAX,^GDAXI,Germany,GER,40,35147517952
E.ON SE                       N,EOAN,EOAN.DE,1.98,Utilities,DAX,^GDAXI,Germany,GER,40,35237384192
DEUTSCHE BANK AG              N,DBK,DBK.DE,1.91,Financial Services,DAX,^GDAXI,Germany,GER,40,33936306176
adidas AG                     N,ADS,ADS.DE,1.83,Consumer Cyclical,DAX,^GDAXI,Germany,GER,40,32478060544
INFINEON TECHNOLOGIES AG      N,IFX,IFX.DE,1.76,Technology,DAX,^GDAXI,Germany,GER,40,31368220672
HANNOVER RUECK SE NA O.N.,HNR1,HNR1.DE,1.68,Financial Services,DAX,^GDAXI,Germany,GER,40,29932175360
Henkel AG & Co. KGaA          I,HEN3,HEN3.DE,1.54,Consumer Defensive,DAX,^GDAXI,Germany,GER,40,27326724096
Heidelberg Materials AG       I,HEI,HEI.DE,1.4,Basic Materials,DAX,^GDAXI,Germany,GER,40,24971419648
BEIERSDORF AG                 I,BEI,BEI.DE,1.45,Consumer Defensive,DAX,^GDAXI,Germany,GER,40,25714251776
Daimler Truck Holding AG      N,DTG,DTG.DE,1.4,Industrials,DAX,^GDAXI,Germany,GER,40,24883867648
Commerzbank AG                I,CBK,CBK.DE,1.21,Financial Services,DAX,^GDAXI,Germany,GER,40,21566365696
RWE AG                        I,RWE,RWE.DE,1.28,Utilities,DAX,^GDAXI,Germany,GER,40,22832455680
Vonovia SE                    N,VNA,VNA.DE,1.17,Real Estate,DAX,^GDAXI,Germany,GER,40,20892237824
Fresenius SE & Co. KGaA       I,FRE,FRE.DE,1.13,Healthcare,DAX,^GDAXI,Germany,GER,40,20175149056
Bayer AG                      N,BAYN,BAYN.DE,1.05,Healthcare,DAX,^GDAXI,Germany,GER,40,18715176960
MTU Aero Engines AG           N,MTX,MTX.DE,0.79,Industrials,DAX,^GDAXI,Germany,GER,40,14027179008
Symrise AG                    I,SY1,SY1.DE,0.72,Basic Materials,DAX,^GDAXI,Germany,GER,40,12861818880
Fresenius Medical Care AG     I,FME,FME.DE,0.7,Healthcare,DAX,^GDAXI,Germany,GER,40,12405500928
CONTINENTAL AG                I,CON,CON.DE,0.64,Consumer Cyclical,DAX,^GDAXI,Germany,GER,40,11400341504
SARTORIUS AG                  V,SRT3,SRT3.DE,0.61,Healthcare,DAX,^GDAXI,Germany,GER,40,10873180160
Porsche Automobil Holding SE  I,PAH3,PAH3.DE,0.54,Consumer Cyclical,DAX,^GDAXI,Germany,GER,40,9628499968
Brenntag SE                   N,BNR,BNR.DE,0.43,Basic Materials,DAX,^GDAXI,Germany,GER,40,7646628864
Zalando SE                    I,ZAL,ZAL.DE,0.41,Consumer Cyclical,DAX,^GDAXI,Germany,GER,40,7337923584
Qiagen N.V.                   A,QIA,QIA.DE,0.43,Healthcare,DAX,^GDAXI,Netherlands,GER,40,7708857344
