Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
Nordea Bank Abp,NDA-FI,NDA-FI.HE,17.65,Financial Services,OMX Helsinki 25,^OMXH25,Finland,HEL,25,35415719936.0
KONE Corporation,KNEBV,KNEBV.HE,12.19,Industrials,OMX Helsinki 25,^OMXH25,Finland,HEL,25,24462385152.0
Nokia Corporation,NOKIA,NOKIA.HE,11.24,Technology,OMX Helsinki 25,^OMXH25,Finland,HEL,25,22559188992.0
Sampo Plc A,SAMPO,SAMPO.HE,10.88,Financial Services,OMX Helsinki 25,^OMXH25,Finland,HEL,25,21831340032.0
UPM-Kymmene Corporation,UPM,UPM.HE,5.89,Basic Materials,OMX Helsinki 25,^OMXH25,Finland,HEL,25,11824696320.0
Fortum Corporation,FORTUM,FORTUM.HE,5.66,Utilities,OMX Helsinki 25,^OMXH25,Finland,HEL,25,11345903616.0
Wärtsilä Corporation,WRT1V,WRT1V.HE,4.11,Industrials,OMX Helsinki 25,^OMXH25,Finland,HEL,25,8237382144.0
Kesko Corporation B,KESKOB,KESKOB.HE,3.6,Consumer Defensive,OMX Helsinki 25,^OMXH25,Finland,HEL,25,7216108544.0
Orion Corporation B,ORNBV,ORNBV.HE,3.56,Healthcare,OMX Helsinki 25,^OMXH25,Finland,HEL,25,7151806976.0
Elisa Corporation,ELISA,ELISA.HE,3.56,Communication Services,OMX Helsinki 25,^OMXH25,Finland,HEL,25,7147825152.0
Metso Oyj,METSO,METSO.HE,3.2,Industrials,OMX Helsinki 25,^OMXH25,Finland,HEL,25,6413492736.0
Stora Enso Oyj R,STERV,STERV.HE,2.99,Basic Materials,OMX Helsinki 25,^OMXH25,Finland,HEL,25,5989918720.0
Neste Corporation,NESTE,NESTE.HE,2.85,Energy,OMX Helsinki 25,^OMXH25,Finland,HEL,25,5712454144.0
Valmet Corporation,VALMT,VALMT.HE,1.95,Industrials,OMX Helsinki 25,^OMXH25,Finland,HEL,25,3916347136.0
Konecranes Plc,KCR,KCR.HE,1.93,Industrials,OMX Helsinki 25,^OMXH25,Finland,HEL,25,3879916544.0
Huhtamäki Oyj,HUH1V,HUH1V.HE,1.57,Consumer Cyclical,OMX Helsinki 25,^OMXH25,Finland,HEL,25,3146940672.0
Kemira Oyj,KEMIRA,KEMIRA.HE,1.39,Basic Materials,OMX Helsinki 25,^OMXH25,Finland,HEL,25,2792166656.0
Mandatum Oyj,MANTA,MANTA.HE,1.28,Financial Services,OMX Helsinki 25,^OMXH25,Finland,HEL,25,2566770688.0
Hiab Oyj,HIAB,HIAB.HE,,,OMX Helsinki 25,^OMXH25,Finland,HEL,25,
Kojamo Plc,KOJAMO,KOJAMO.HE,1.07,Real Estate,OMX Helsinki 25,^OMXH25,Finland,HEL,25,2143974272.0
TietoEVRY Corporation,TIETO,TIETO.HE,0.87,Technology,OMX Helsinki 25,^OMXH25,Finland,HEL,25,1749600768.0
Qt Group Oyj,QTCOM,QTCOM.HE,0.83,Technology,OMX Helsinki 25,^OMXH25,Finland,HEL,25,1670740992.0
Kalmar Oyj B,KALMAR,KALMAR.HE,0.7,Industrials,OMX Helsinki 25,^OMXH25,Finland,HEL,25,1401461888.0
Outokumpu Oyj,OUT1V,OUT1V.HE,0.6,Basic Materials,OMX Helsinki 25,^OMXH25,Finland,HEL,25,1203116288.0
Nokian Tyres Plc,TYRES,TYRES.HE,0.42,Consumer Cyclical,OMX Helsinki 25,^OMXH25,Finland,HEL,25,836181568.0
