Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
LVMH,MC,MC.PA,11.38,Consumer Cyclical,CAC 40,^FCHI,France,PAR,40,259427762176
HERMES INTL,RMS,RMS.PA,10.11,Consumer Cyclical,CAC 40,^FCHI,France,PAR,40,230325927936
L'OREAL,OR,OR.PA,7.9,Consumer Defensive,CAC 40,^FCHI,France,PAR,40,180064632832
SANOFI,SAN,SAN.PA,5.09,Healthcare,CAC 40,^FCHI,France,PAR,40,115951763456
AIRBUS SE,AIR,AIR.PA,5.09,Industrials,CAC 40,^FCHI,Netherlands,PAR,40,115952091136
TOTALENERGIES,TTE,TTE.PA,5.23,Energy,CAC 40,^FCHI,France,PAR,40,119101308928
ESSILORLUXOTTICA,EL,EL.PA,4.76,Healthcare,CAC 40,^FCHI,France,PAR,40,108481552384
SCHNEIDER ELECTRIC SE,SU,SU.PA,4.92,Industrials,CAC 40,^FCHI,France,PAR,40,112072933376
AIR LIQUIDE,AI,AI.PA,4.09,Basic Materials,CAC 40,^FCHI,France,PAR,40,93192003584
SAFRAN,SAF,SAF.PA,3.92,Industrials,CAC 40,^FCHI,France,PAR,40,89328082944
AXA,CS,CS.PA,3.55,Financial Services,CAC 40,^FCHI,France,PAR,40,80955645952
BNP PARIBAS ACT.A,BNP,BNP.PA,3.52,Financial Services,CAC 40,^FCHI,France,PAR,40,80132366336
VINCI,DG,DG.PA,2.76,Industrials,CAC 40,^FCHI,France,PAR,40,62872453120
THALES,HO,HO.PA,2.18,Industrials,CAC 40,^FCHI,France,PAR,40,49640353792
CREDIT AGRICOLE,ACA,ACA.PA,2.11,Financial Services,CAC 40,^FCHI,France,PAR,40,48049967104
DANONE,BN,BN.PA,1.98,Consumer Defensive,CAC 40,^FCHI,France,PAR,40,45073489920
DASSAULT SYSTEMES,DSY,DSY.PA,1.85,Technology,CAC 40,^FCHI,France,PAR,40,42081169408
ENGIE,ENGI,ENGI.PA,1.91,Utilities,CAC 40,^FCHI,France,PAR,40,43524530176
SAINT GOBAIN,SGO,SGO.PA,1.86,Industrials,CAC 40,^FCHI,France,PAR,40,42449297408
STELLANTIS NV,STLAP,STLAP.PA,1.12,Consumer Cyclical,CAC 40,^FCHI,Netherlands,PAR,40,25460066304
ORANGE,ORA,ORA.PA,1.42,Communication Services,CAC 40,^FCHI,France,PAR,40,32336381952
SOCIETE GENERALE,GLE,GLE.PA,1.31,Financial Services,CAC 40,^FCHI,France,PAR,40,29753262080
LEGRAND,LR,LR.PA,1.05,Industrials,CAC 40,^FCHI,France,PAR,40,24030154752
VEOLIA ENVIRON.,VIE,VIE.PA,0.96,Industrials,CAC 40,^FCHI,France,PAR,40,21876994048
PERNOD RICARD,RI,RI.PA,0.98,Consumer Defensive,CAC 40,^FCHI,France,PAR,40,22255312896
MICHELIN,ML,ML.PA,0.92,Non disponible,CAC 40,^FCHI,Non disponible,PAR,40,20935413760
CAPGEMINI,CAP,CAP.PA,0.94,Technology,CAC 40,^FCHI,France,PAR,40,21370157056
KERING,KER,KER.PA,0.92,Consumer Cyclical,CAC 40,^FCHI,France,PAR,40,20912826368
PUBLICIS GROUPE SA,PUB,PUB.PA,0.89,Communication Services,CAC 40,^FCHI,France,PAR,40,20210739200
STMICROELECTRONICS,STMPA,STMPA.PA,0.71,Technology,CAC 40,^FCHI,Netherlands,PAR,40,16175730688
BOUYGUES,EN,EN.PA,0.59,Industrials,CAC 40,^FCHI,France,PAR,40,13548880896
RENAULT,RNO,RNO.PA,0.56,Consumer Cyclical,CAC 40,^FCHI,France,PAR,40,12660784128
BUREAU VERITAS,BVI,BVI.PA,0.5,Industrials,CAC 40,^FCHI,France,PAR,40,11284118528
UNIBAIL-RODAMCO-WESTFIELD,URW,URW.PA,0.45,Real Estate,CAC 40,^FCHI,France,PAR,40,10252189696
EUROFINS SCIENT.,ERF,ERF.PA,0.38,Healthcare,CAC 40,^FCHI,Luxembourg,PAR,40,8681902080
ACCOR,AC,AC.PA,0.41,Consumer Cyclical,CAC 40,^FCHI,France,PAR,40,9390188544
CARREFOUR,CA,CA.PA,0.38,Consumer Defensive,CAC 40,^FCHI,France,PAR,40,8571363328
EDENRED,EDEN,EDEN.PA,0.3,Financial Services,CAC 40,^FCHI,France,PAR,40,6926993920
TELEPERFORMANCE,TEP,TEP.PA,0.22,Industrials,CAC 40,^FCHI,France,PAR,40,5082941952
ARCELORMITTAL SA,MT,MT.AS,0.81,Basic Materials,CAC 40,^FCHI,Luxembourg,AMS,40,18544312320
