Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
Novo Nordisk B A/S,NOVO-B,NOVO-B.CO,46.79,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,1926769672192
DSV A/S,DSV,DSV.CO,6.42,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,264548057088
Nordea Bank Abp,NDA-DK,NDA-DK.CO,6.68,Financial Services,OMX Copenhagen 25,^OMXC25,Finland,CPH,25,274910445568
Novonesis (Novozymes A/S) B,NSIS-B,NSIS-B.CO,4.31,Basic Materials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,177259888640
Danske Bank A/S,DANSKE,DANSKE.CO,3.92,Financial Services,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,161483522048
Coloplast B A/S,COLO-B,COLO-B.CO,3.72,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,153339723776
A.P. Møller - Mærsk B A/S,MAERSK-B,MAERSK-B.CO,3.71,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,152959205376
A.P. Møller - Mærsk A A/S,MAERSK-A,MAERSK-A.CO,3.71,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,152925945856
ORSTED A/S,ORSTED,ORSTED.CO,2.75,Utilities,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,113127268352
Carlsberg B A/S,CARL-B,CARL-B.CO,2.69,Consumer Defensive,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,110619205632
Tryg A/S,TRYG,TRYG.CO,2.14,Financial Services,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,87912423424
Vestas Wind Systems A/S,VWS,VWS.CO,2.09,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,86202220544
Genmab A/S,GMAB,GMAB.CO,1.9,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,78267310080
Pandora A/S,PNDORA,PNDORA.CO,1.72,Consumer Cyclical,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,70729596928
Rockwool A/S ser. B,ROCK-B,ROCK-B.CO,1.27,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,52339748864
Demant A/S,DEMANT,DEMANT.CO,1.13,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,46607462400
Jyske Bank A/S,JYSK,JYSK.CO,0.72,Financial Services,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,29673201664
Zealand Pharma A/S,ZEAL,ZEAL.CO,0.7,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,29006168064
Ambu A/S,AMBU-B,AMBU-B.CO,0.74,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,30501654528
ISS A/S,ISS,ISS.CO,0.62,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,25366757376
Royal UNIBREW A/S,RBREW,RBREW.CO,0.64,Consumer Defensive,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,26540814336
NKT A/S,NKT,NKT.CO,0.57,Industrials,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,23560865792
Sydbank A/S,SYDB,SYDB.CO,0.45,Financial Services,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,18623627264
GN Store Nord A/S,GN,GN.CO,0.32,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,13311939584
Bavarian Nordic A/S,BAVA,BAVA.CO,0.26,Healthcare,OMX Copenhagen 25,^OMXC25,Denmark,CPH,25,10905113600
