Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
FERRARI,RACE,RACE.MI,9.19,Consumer Cyclical,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,65290743808
ENEL,ENEL,ENEL.MI,10.29,Utilities,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,73056903168
INTESA SANPAOLO,ISP,ISP.MI,10.53,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,74799661056
UNICREDIT,UCG,UCG.MI,10.34,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,73469747200
GENERALI,G,G.MI,6.66,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,47293739008
ENI,ENI,ENI.MI,5.43,Energy,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,38544171008
STELLANTIS,STLAM,STLAM.MI,3.59,Consumer Cyclical,FTSE MIB Index,FTSEMIB.MI,Netherlands,MIL,40,25495222272
LEONARDO,LDO,LDO.MI,3.62,Industrials,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,25691914240
POSTE ITALIANE,PST,PST.MI,2.9,Industrials,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,20624285696
TENARIS,TEN,TEN.MI,2.32,Energy,FTSE MIB Index,FTSEMIB.MI,Luxembourg,MIL,40,16479766528
TERNA,TRN,TRN.MI,2.3,Utilities,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,16353973248
SNAM,SRG,SRG.MI,2.24,Utilities,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,15891261440
STMICROELECTRONICS,STMMI,STMMI.MI,2.28,Technology,FTSE MIB Index,FTSEMIB.MI,Netherlands,MIL,40,16179506176
MONCLER,MONC,MONC.MI,1.95,Consumer Cyclical,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,13857073152
PRYSMIAN,PRY,PRY.MI,1.82,Industrials,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,12924756992
BANCO BPM,BAMI,BAMI.MI,1.85,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,13110087680
MEDIOBANCA,MB,MB.MI,1.82,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,12935243776
RECORDATI ORD,REC,REC.MI,1.36,Healthcare,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,9681868800
FINECOBANK,FBK,FBK.MI,1.43,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,10125673472
BANCA MEDIOLANUM,BMED,BMED.MI,1.39,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,9884121088
UNIPOL,UNI,UNI.MI,1.4,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,9933696000
INWIT,INW,INW.MI,1.23,Real Estate,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,8710668288
BPER BANCA,BPE,BPE.MI,1.3,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,9263841280
BANCA MONTE PASCHI SIENA,BMPS,BMPS.MI,1.2,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,8522058752
BUZZI,BZU,BZU.MI,1.09,Basic Materials,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,7748402688
A2A,A2A,A2A.MI,0.93,Utilities,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,6610447872
TELECOM ITALIA,TIT,TIT.MI,0.94,Communication Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,6655341568
CAMPARI,CPR,CPR.MI,0.91,Consumer Defensive,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,6436295680
BRUNELLO CUCINELLI,BC,BC.MI,0.88,Consumer Cyclical,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,6225526784
HERA,HER,HER.MI,0.78,Utilities,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,5519586304
ITALGAS,IG,IG.MI,0.75,Utilities,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,5318493184
NEXI,NEXI,NEXI.MI,0.8,Technology,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,5694202880
PIRELLI & C,PIRC,PIRC.MI,0.7,Consumer Cyclical,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,4981099008
DIASORIN,DIA,DIA.MI,0.68,Healthcare,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,4805587968
IVECO GROUP,IVG,IVG.MI,0.52,Industrials,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,3667847168
BCA POP SONDRIO,BPSO,BPSO.MI,0.63,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,4500663296
AMPLIFON,AMP,AMP.MI,0.55,Healthcare,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,3916995840
SAIPEM,SPM,SPM.MI,0.5,Energy,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,3580569344
INTERPUMP GROUP,IP,IP.MI,0.44,Industrials,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,3141828352
AZIMUT,AZM,AZM.MI,0.47,Financial Services,FTSE MIB Index,FTSEMIB.MI,Italy,MIL,40,3314581504
